alt,transcript,link,alpha,wmp_ratio
GOV_MS_HOOD_A_DAY_IN_THE_LIFE,"Reload ammunition, take care of the land. Mississippi attack, cybercrime delivered, the taxpayers from Big insurance scam artist and at the end of the day. Thank God for family and for the chance to help others.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MS_HOOD_A_DAY_IN_THE_LIFE.wmv,0.6188802,0.212829736211031
HOUSE_FL03_SAPP_MISLEADING_VOTERS,"Stream st. George and cadcam actor, misleading voters, documents, reveal st. George's medical malpractice domestic violence, and a fair result. Can't Mac with the molded by the conservative Choice. Friend Judson, set strongest allies for congress Judson Sapp.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_FL03_SAPP_MISLEADING_VOTERS.wmv,0.6188802,0.212829736211031
HOUSE_MI06_CLF_JUDGEMENT_IS_DISTURBING,"Attachment disturbing. Let's see, who'll be called women readers, that sex it about crystal meth, and wrote it, as sexual partners for his victims, will be even wrote about a four-year-old. -4 year old wearing a thong, a judgment Congressional leadership. Fund is responsible for the content of this advert.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MI06_CLF_JUDGEMENT_IS_DISTURBING.wmv,0.6188802,0.212829736211031
HOUSE_MI06_CLF_REMEMBER_JON,Remember John hoadley's bad judgement women readers and four year old wearing a bad judgement unfit for Congress.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MI06_CLF_REMEMBER_JON.wmv,0.6188802,0.212829736211031
HOUSE_MO02_NRCC_THE_STORY_WAS_HORRIFIC,"The story was horrific a child sexually abused prosecutors handcuffed, but Jill schupp said, no, she making it easier to prosecute sex crimes against children, who was protecting us.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MO02_NRCC_THE_STORY_WAS_HORRIFIC.wmv,0.6188802,0.212829736211031
HOUSE_NV03_DCCC_FIGHTER,"Oh, he's a fighter. All right, battery and allegations of domestic disturbances and the self said he likes to people up.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NV03_DCCC_FIGHTER.wmv,0.6188802,0.212829736211031
HOUSE_NV03_HOUSEMAJPAC_WRESTLES,"Old Diner, complete anger management classes looks like they didn't work, He's dangerously unhinged House Majority PAC.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NV03_HOUSEMAJPAC_WRESTLES.wmv,0.6188802,0.212829736211031
HOUSE_NV03_LEE_911_EMERGENCY,"911, emergency police officer immediately Congressional candidate. Violent history of assault. Beatings and yes. I'm Susie Lee and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NV03_LEE_911_EMERGENCY.wmv,0.6188802,0.212829736211031
HOUSE_NV03_LEE_HE_ADMITS_IT,"Message. Recent domestic violence. Dishes assaults, brutal. Beatings dangerously unqualified for Congress has problems. He is one.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NV03_LEE_HE_ADMITS_IT.wmv,0.6188802,0.212829736211031
HOUSE_NV03_LEE_THE_RING,"Spell careers been bruising in body-slamming. If only X professional wrestler Dan, rodimer, I'd kept it in the ring, but in real life, and it's brutal. Beatings domestic. Violence has documented in his girlfriend's calls to 911, send Dan rodimer to Congress now because of violent lawbreaker. Can't just be, Nevada lawmaker. I'm Susie Lee and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NV03_LEE_THE_RING.wmv,0.6188802,0.212829736211031
HOUSE_NY24_KATKO_BAIL_REFORM_SARAH,Their Sarah was shot and killed by her boyfriend. She's kind of policies. Do is dangerous and that matters to me.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NY24_KATKO_BAIL_REFORM_SARAH.wmv,0.6188802,0.212829736211031
HOUSE_TX23_JONES_THIS_IS_MY_STORY,"Coming to America to protect her girls, I grew up here in San Antonio and I learn to work hard John, Jay, High School ROTC, scholarship, Air Force Iraq, and when Mom got cancer, I came home to help it all shaped who I am today. And I approve this message, because how we shape our future matters more.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_TX23_JONES_THIS_IS_MY_STORY.wmv,0.6188802,0.212829736211031
HOUSE_VA01_RASHID_THE_AMERICAN_DREAM,"I'm crossing received this message, women, who survived abuse, Christians and Jews persecuted for their faith. It was time to act for Better Health Care access to broadband has waited too. Long is action, and it's time.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_VA01_RASHID_THE_AMERICAN_DREAM.wmv,0.6188802,0.212829736211031
PRES_BIDEN_BASIC_PRINCIPLES,"My father would say the basic essential elements of what constitutes Catholicism, you just basic principles on Joe Biden and I approve this.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_BIDEN_BASIC_PRINCIPLES.wmv,0.6188802,0.212829736211031
