alt,transcript,link,alpha,wmp_ratio
GOV_KY_BESHEAR_NOT_TRUE_15,"Matt Bevin, Scare Tactics are despicable and not true attorney, general beshear certified that Kentucky has no Sanctuary cities guaranteeing federal law enforcement funding, the Fraternal Order of Police in. Dorst Andy beshear, he'll protect",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_NOT_TRUE_15.wmv,0.9315354,0.212829736211031
GOV_KY_BEVIN_BACKWARD_BESHEAR,"Forward or backward as he won't stop Sanctuary cities in economy. He supports 57,000, new jobs. Probably pro-life. Matt wants to ban Sanctuary cities for illegal immigrants. Choose forward choose, Matt, Bevin.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BEVIN_BACKWARD_BESHEAR.wmv,0.9315354,0.212829736211031
GOV_KY_BEVIN_SAFE,"The cost of Devin says no to Sanctuary cities that Andy, beshear would allow illegal immigrants to swarm our state, Kentucky backwards for President Trump and Governor Bevin, Crackdown on illegal immigration rights with illegal immigrants. Besides the Kentucky side with Governor, Matt, Bevin.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BEVIN_SAFE.wmv,0.9315354,0.212829736211031
GOV_KY_BEVIN_TRUMP_ENDORSEMENT,"This guy was a really successful guy and he saw things happening in Kentucky. And he said, you know, I can do a, tremendous job, really has done. This date is doing so well. Do you have your lowest unemployment numbers in history? You have your best incomes in history. Do you have jobs and companies flowing back? And they said, terrific man had a terrific Governor, Matt, Bevin.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BEVIN_TRUMP_ENDORSEMENT.wmv,0.9315354,0.212829736211031
GOV_KY_PUTTINGKYFIRST_1300,"1300 Kentucky, Ave died from a drug overdose. I know the pain. These families felt. I lost my own brother to an overdose illegal immigration is making to bring that pulls in, a community refusing to ban points where the cities that were big drug dealers.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_PUTTINGKYFIRST_1300.wmv,0.9315354,0.212829736211031
GOV_KY_PUTTINGKYFIRST_DANGEROUS,"National Democrats support, open, borders. So extreme, they want to decriminalize Illegal border crossing. So liberal they support taxpayer-funded healthcare for illegals. Crazy immigration agenda. Andy beshear is Extreme on illegal immigration to just like National Democrats are opposed a ban on Sanctuary cities. Donald Trump. Andy beshear is with them, not us.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_PUTTINGKYFIRST_DANGEROUS.wmv,0.9315354,0.212829736211031
GOV_KY_PUTTINGKYFIRST_RAISE_YOUR_HAND,"Weezer had to cover that your government plan. Would provide coverage for undocumented immigrants as Democrats running for president illegal immigrants. Just like National Liberals are supported at government takeover of our Healthcare and exterior even opposes requiring able-bodied adults to work while receiving benefits. Andy beshear is with them, not us.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_PUTTINGKYFIRST_RAISE_YOUR_HAND.wmv,0.9315354,0.212829736211031
GOV_KY_PUTTINGKYFIRST_SANCTUARY_CITIES,"As a sheriff, I'm on the front lines of Kentucky's battle against opioids. I've seen how he legal immigration is destroying families, for bringing heroin into our communities, President Trump, and Governor. Bevin have it, right. We need to band Sanctuary cities cities. Governor. Bevin is the only one who will protect Kentucky families.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_PUTTINGKYFIRST_SANCTUARY_CITIES.wmv,0.9315354,0.212829736211031
GOV_KY_PUTTINGKYFIRST_TOO_LIBERAL,"Nothing is more important to me than my children's safety. That's why I voted for President Trump. And it's why I want a governor was tough on illegal immigration and it was sheer fail, the test just like National liberal, but she reposes a ban on Sanctuary cities, which provide a safe harbor to illegal immigrants who commit crimes and bring drugs into our neighborhood. Immigration agenda. And if she is just too liberal for, Kentucky.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_PUTTINGKYFIRST_TOO_LIBERAL.wmv,0.9315354,0.212829736211031
GOV_KY_PUTTINGKYFIRST_VALUES,"President Trump is Governor Bevin of making Kentucky great again, with socialists in Washington, want to impeach Trump and take us backward. And even here is part of their radical resistant, harassing Trump with losses are two people who can work but choose not to the sheer. Even opposes a ban on Sanctuary cities. Liberal, Andy beshear, doesn't share our Kentucky values. Send the Socialist a message to Ft. Andy beshear.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_PUTTINGKYFIRST_VALUES.wmv,0.9315354,0.212829736211031
GOV_LA_ABRAHAM_CONSERVATIVES_BEWARE,"Conservatives be where Eddie rispone is desperate. It is running dishonest attack ads against Abraham. The fax paper ham, doesn't vote with Nancy Pelosi, and he voted for Trump's wall. Ralph Abraham is rated as the most Conservative candidate in the race. For governor of Louisiana Family Forum. He's one hundred percent Proline Pro Trump and pro-second Amendment. The most conservative in the race for governor is Ralph Abraham to you and that the truth.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_ABRAHAM_CONSERVATIVES_BEWARE.wmv,0.9315354,0.212829736211031
GOV_LA_EDWARDS_NOT_RIGHT,"A lot when you stand up here and tell blatant lies to the good people of Louisiana. The politician, not me. It's just not right, you know, it.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_EDWARDS_NOT_RIGHT.wmv,0.9315354,0.212829736211031
GOV_LA_LANDRIEU_250000_NEW_JOBS,"Far, too, many of our families children are leaving our state in search of opportunity. It's so sad because we have so much to offer. We made Louisiana, Hollywood of the South with thousands of jobs and millions of dollars in Revenue. Now, it's time to make a Louisiana Last Vegas with billions of dollars of Revenue and hundreds of thousands of jobs. Stay Gold.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_LANDRIEU_250000_NEW_JOBS.wmv,0.9315354,0.212829736211031
GOV_LA_LANDRIEU_DISGRACE,"Independent candidate, for governor, Gary Landrieu, on destruction of American history, on to the government. They belong to the people like all of history, but I am Governor. There won't be any more Monument storm damage disease had 250,000 new jobs and build the bridge in Baton Rouge.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_LANDRIEU_DISGRACE.wmv,0.9315354,0.212829736211031
GOV_LA_LARP_CARD,"Google John Bel Edwards. So, desperate they're playing the race card. Listen disagree with liberals called. Make America great again, really means.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_LARP_CARD.wmv,0.9315354,0.212829736211031
GOV_LA_LARP_SEND_A_MESSAGE,"Debra. Radical liberal name, John Bella. Violated your sacred trust and he's done nothing about your car engine. He cares more about illegal aliens than he cares about. Edwards is dangerous off. 35 Louisiana consent. The radical left a message that they can never ignore vote for Eddie rispone, authorized, by Eddie rispone. For governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_LARP_SEND_A_MESSAGE.wmv,0.9315354,0.212829736211031
GOV_LA_LARP_TONY,"Everyone's all offended. I'm a veteran, and I'm offended too by John Bel Edwards, letting trial or you jack up. Our car insurance. Giving me and still illegal immigrants playing the race card against President. Donald Trump makes me sick. Just like paid for by Republican party for Louisiana. Authorized by Eddie rispone.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_LARP_TONY.wmv,0.9315354,0.212829736211031
GOV_LA_RGARIGHTDIRECTION_OPEN_BORDERS_EXTREMISTS,"Free taxpayer-funded benefits to illegal immigrants Edwards, even opposed to the band funding for Sanctuary cities and Edwards. Opposed to President Trump's immigration plan to secure our borders. April RGA right direction PAC.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RGARIGHTDIRECTION_OPEN_BORDERS_EXTREMISTS.wmv,0.9315354,0.212829736211031
GOV_LA_RGARIGHTDIRECTION_STANDS,Open border. Extremist. Why? Radical agenda. Vote for Eddie rispone.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RGARIGHTDIRECTION_STANDS.wmv,0.9315354,0.212829736211031
GOV_LA_RGARIGHTDIRECTION_WITH_HER,"Liberal John Bel Edwards for a radical policies. Illegal immigrants, getting taxpayer-funded benefits. And deposed President, Trump's full immigration plan to secure our borders. John Bel Edwards too liberal for, Louisiana. John Bel Edwards.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RGARIGHTDIRECTION_WITH_HER.wmv,0.9315354,0.212829736211031
GOV_LA_RISPONE_CARD,"Super Bowl, John Bel Edwards, so, desperate, they're playing the race card. Listen to the Liberals, call you a racist. Hispanic. Do you have any dog would make America great again desperate John Bel Edwards too liberal for",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RISPONE_CARD.wmv,0.9315354,0.212829736211031
GOV_LA_RISPONE_CHANGE,I'm Eddie rispone. I'm the grandson of legal immigrants who worked hard and played by The Roots. Let me be clear. It will be a cold day in you-know-where before I support anything like it. Right now. John Bel Edwards is wasting Millions on benefits for illegal immigrants and he refuses to ban Sanctuary cities as your Governor. That's going to change. The second my hand comes off that Bible. You responding for governor.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RISPONE_CHANGE.wmv,0.9315354,0.212829736211031
GOV_LA_RISPONE_EXCUSES,"Blake was on his motorcycle and illegal alien crash into himself and left my son to die. Under a burning truck. Blake's killer was arrested at least twice before released. And today still on the Run career politicians, make excuses. I support Eddie rispone because he won't respond. He will crack down on illegal aliens and dangerous criminals. So, no, family. Ever has to go through with mine.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RISPONE_EXCUSES.wmv,0.9315354,0.212829736211031
GOV_LA_RISPONE_MEDICAID_EXPANSION_15,"Mismanaged State, Medicaid expansion so bad. You wasted 85 million getting benefits to end. And then it's 16 million more on welfare for illegal immigrants. John Bel Edwards, too liberal for Louisiana.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RISPONE_MEDICAID_EXPANSION_15.wmv,0.9315354,0.212829736211031
GOV_LA_RISPONE_SO_EASY,"I'm in responding. I'm one hundred percent pro-life, a lifelong outdoors, and a businessman who's created, thousands of jobs, conservative with President Trump to ban Sanctuary cities and give voters a baby have a wheel.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RISPONE_SO_EASY.wmv,0.9315354,0.212829736211031
