alt,transcript,link,alpha,wmp_ratio
GOV_KY_LAWRENCE_PROVEN_LEADER,"Hello, Mike, Lawrence, and I'm running for Republican. Governor of Kentucky. I was one of Lexington's larger, landlords, providing safe and affordable housing. The UK students, as a proven leader. Also, save Lexington taxpayer over 200 million and new office lease payments, and I save the taxpayer five million dollars a year in new insurance taxes. Learn more about my policies and I like, Ike for governor. Calm. My name is Ike Lawrence and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_LAWRENCE_PROVEN_LEADER.wmv,0.6745518,0.212829736211031
GOV_UT_PETERSON_HOPE_60,"I was born in West Valley City, remember our house on a noisy Street where I took a job as a telephone bill collector, but it made me sad to hear family struggling to pay for healthcare or a roof over to attend law school. I just wanted to find a way to make a difference after the financial crash, in 2002 Washington to help people. Facing foreclosure.All across America. It's so exciting for me to think that is Governor. I can how to change other families lies and bring hope back to Utah's. Chris Petersen. I endorse this message and I ask for your vote on November 3rd.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_UT_PETERSON_HOPE_60.wmv,0.6745518,0.212829736211031
GOV_WA_CULP_ONE_OF_US,"Politicians boast of resumes, law degrees and hobnobbing with Elite. What do we get homeless camps, riots, wrecked economy. And then there's release Prisoners. The unemployment fraud scandal in Maggie apples. Sick of suffering. Lauren. Kulp is one of us. He's a veteran. Police officer businessman. Yes, house in car payments, but job in common sense, Lord called cares about the Constitution, equal rights, Washington family. Let's elect Lauren, call governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WA_CULP_ONE_OF_US.wmv,0.6745518,0.212829736211031
GOV_WA_FORTUNATO_BLUEPRINT,"Pepsi Center. Small-town, mayor of police chief with no state government experience of the Second Amendment.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WA_FORTUNATO_BLUEPRINT.wmv,0.6745518,0.212829736211031
GOV_WA_FORTUNATO_BLUEPRINT_HOMELESSNESS,"Phil Fortunato. Small-town, mayor of police chief with no state government experience to be your Governor congestion relief. Play kindergarten sexy.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WA_FORTUNATO_BLUEPRINT_HOMELESSNESS.wmv,0.6745518,0.212829736211031
GOV_WV_THRASHER_CORONAVIRUS_60,"Play, I want to dress my fellow West Virginians. This is a real time of concern. We're all dealing with his coronavirus and certainly is creating hardships for West Virginians. And I believe those hardships may get greater before they get better. I also think it's a time where West Virginia needs to be proactive in terms of its reaction to this crisis, not reactive the way we have been so many other times. Number one. We need to increase unemployment benefits for those folks that have lost their job because of this coronavirus. Secondly, we need to have loans Bridge loans for small businesses. West. Virginia needs to join hand-in-hand with our federal Partners to help our small businesses because of this crisis. Our president is being very proactive. In terms of dealing with those issues. We need to file a suit and be proactive as well. It's time West Virginia. It's time for the state of West Virginia to get something done.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WV_THRASHER_CORONAVIRUS_60.wmv,0.6745518,0.212829736211031
HOUSE_CA16_COOKINGHAM_FUNDRAISING,"Career politician for 40 years. They're both trying to convince you that homelessness crime unemployment in failing schools. Vote for Jim, just one more time, but you know better are you going to be fooled and ignore this time around? Don't be misled and I'm going to be that. I'm Kevin cookingham and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA16_COOKINGHAM_FUNDRAISING.wmv,0.6745518,0.212829736211031
HOUSE_CA16_COOKINGHAM_UNEMPLOYMENT_RATES,"Hi, I'm cooking ham. This nation is enjoying one of the lowest unemployment rates in 50 years and only 3.5% yet here in the 16th District 10.9%. When you receive your ballot, ask yourself one question. Is this Valley better or worse than it was just a few years ago. Next vote for change both cooking a congress on Kevin cooking am and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA16_COOKINGHAM_UNEMPLOYMENT_RATES.wmv,0.6745518,0.212829736211031
HOUSE_CA20_PANETTA_HOUSING_CRISIS,"The Central Coast have a housing crisis, is fighting for families.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA20_PANETTA_HOUSING_CRISIS.wmv,0.6745518,0.212829736211031
HOUSE_CA22_NUNES_THE_DEMOCRAT_PLAN_SP,"Floor lamp on America, and I support them, and I support them. And I support them live at Budokan.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA22_NUNES_THE_DEMOCRAT_PLAN_SP.wmv,0.6745518,0.212829736211031
HOUSE_CA24_CALDWELL_THE_REAL_ISSUES,"Baby Caldwell was met with thousands of Voters talking about real issues and his agenda for congress economic recovery and jobs, school choice, affordable and reliable, electricity water for farms and families, reducing prescription, and premium costs, keeping our promises to seniors and Veterans, reducing the impact of the real reforms for the Central Coast. Pay for an authorized by Andy Caldwell for Congress.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA24_CALDWELL_THE_REAL_ISSUES.wmv,0.6745518,0.212829736211031
HOUSE_CA25_GARCIA_SERVED_WITH_HONOR,"He broke records and piloted the F-18 Super Hornet in combat. Answering our nation's call. He served with honor, then Mike. Garcia returned home to his family to a far worse, California from where he grew up now, Mike Garcia for congress. I might Garcia and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA25_GARCIA_SERVED_WITH_HONOR.wmv,0.6745518,0.212829736211031
