alt,transcript,link,alpha,wmp_ratio
HOUSE_AL02_COLEMAN_LOVE_FAMILY_STATE_AND_COUNTRY,I love my family by state and my country running for congress to help. Keep them safe and to help President Trump and illegal immigration. And finally Build That Wall drug dealers. Human traffickers Terrace who commit crimes and get to stay here. How can we get them all back across the border? I'm in the moving business. Jeff Coleman and I approve this message.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL02_COLEMAN_LOVE_FAMILY_STATE_AND_COUNTRY.wmv,0.56848,0.212829736211031
HOUSE_IL14_ILCONPAC_PRETENDS,Raise taxes on families by 12. President Trump is a fad. Personally attacking President Trump and comparing pro-lifers to terrorist. That's the real.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_IL14_ILCONPAC_PRETENDS.wmv,0.56848,0.212829736211031
HOUSE_MI03_MEIJER_BATTLE_TESTED,"A l Congress is in chaos in order to chaos. Meijer photo. You handled Democrats BC. Okay, I'm a conservative better than running for congress because an uncertain Times. West, Michigan needs proven leadership. Text me. If you agree, and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MI03_MEIJER_BATTLE_TESTED.wmv,0.56848,0.212829736211031
HOUSE_MI03_MEIJER_THE_ARMY_MOTTO,"This, we'll defend its the army motto. And for Peter Mayer, it's his mission Meyer enlisted in the Army to defend us fighting terrorists in Iraq. A conservative veteran, Myers fighting to defend our Liberty, when our economy, and our rights are under attack. He'll work with our president to get West Michigan working again and protect our god-given freedoms. Republican Peter Mayer. I should admire and I approve this month.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MI03_MEIJER_THE_ARMY_MOTTO.wmv,0.56848,0.212829736211031
HOUSE_MN01_FEEHAN_ABOVE_ALL_ELSE,"Anorak. I learned to put service to country above all else. I volunteer for the Army after 9/11. Sniper fire dismantled bombs and tephra Terrace. So I'm fed up with politicians, like Jim Hagedorn, who sell out and serve the big drug, and insurance companies. Instead of us. It's Republicans and Democrats. And I approve this message because we need new leaders, who will put people first again.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MN01_FEEHAN_ABOVE_ALL_ELSE.wmv,0.56848,0.212829736211031
HOUSE_NC11_DRISCOLL_SERVED_IN_IRAQ,"When I served in Iraq, the work of terrorists, like, we were lucky President, Trump killed soleimani saving American lives. In keeping our country. Safe. He's unleashing unprecedented prosperity, and moving us forward, but he needs help. That's why I'm running for congress to protect our Mountain values, Safeguard our freedom and secure the Border. I'm dangerous goal and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC11_DRISCOLL_SERVED_IN_IRAQ.wmv,0.56848,0.212829736211031
HOUSE_NM02_PRESIDENTIALCOALITION_STOP_IMPEACHMENT_TORRES-SMALL,"The economy, booming America's military, strengthen our borders defended and the World's Most Wanted terrorist dead. President Trump getting the job done. And what of the Democrats done? They're wasting billions on a partisan witch hunter Weaver's the 2016 election. They know they can compete so they time to fight",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NM02_PRESIDENTIALCOALITION_STOP_IMPEACHMENT_TORRES-SMALL.wmv,0.56848,0.212829736211031
HOUSE_NY01_RJCVF_NANCY_NANCY_NANCY,"Nancy Nancy Nancy, what could you be thinking joining protests to defund the police supporting a crazy liberal plan to let violent criminals out of jail. Sporting continued funding of the PLO. Seriously, even when they use the money to give to terrorists to kill Americans. Nancy, Nancy. Nancy, you should know better than to have the far-left. Radical view. The RJC Victory fund is responsible for the content of this advertisement.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NY01_RJCVF_NANCY_NANCY_NANCY.wmv,0.56848,0.212829736211031
HOUSE_NY11_ROSE_PUT_ON_THE_UNIFORM,Florida politics.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NY11_ROSE_PUT_ON_THE_UNIFORM.wmv,0.56848,0.212829736211031
HOUSE_NY24_CLF_ROBERT_BARTLETT,"I was hit by an EMP from Iran. Roadside bomb, got through my vehicle, cut me in half and left corner of my temple. You're my jaw. When I found out that Dana Balter, work with a radical group that protested, the killing of General soleimani, Iranian terrorist made my blood boil for the bomb that killed me and did kill my friend collecting erotica. Like Dana Balter is a total betrayal to Veterans, like myself. Congressional leadership fund is responsible for the content of this advertising.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NY24_CLF_ROBERT_BARTLETT.wmv,0.56848,0.212829736211031
