alt,transcript,link,alpha,wmp_ratio
GOV_IN_HOLCOMB_ELISE,"I'm a hoe is your mom and small-business owner, Eric Holcomb. Send more than just talk about one Indiana for all. He's shown the leadership to get us their new jobs. Hire takes your pee and poop. Internet connection is screwing up our Workforce and he's been making sure our communities are vibrant and safe concerning those in danger of falling behind, get the resources to get back on track. Those are his goals the last four years. Alex poor Let's help keep building one, Indiana for all.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_IN_HOLCOMB_ELISE.wmv,0.8194966,0.212829736211031
GOV_IN_HOLCOMB_ON_A_ROLL,"But we were on a roll, the foot pandemic, hit here in the state of Indiana. What we saw was a record number of new jobs to the state of Indiana. Know, by the way, those jobs at we're coming. We're at a record high, $20.60 an hour, but I still feel like we're just getting started Indiana to the next level. This is how Indiana become Indiana for all.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_IN_HOLCOMB_ON_A_ROLL.wmv,0.8194966,0.212829736211031
GOV_IN_HOLCOMB_READY,"Directions to public and legislators made. Sure Indiana was ready to handle a job creation at Dallas budgets, attitude billion dollar Surplus to help get us through that strength. Means Indiana's ready to reach even greater height. We're attracting more jobs in Hoosiers. Will keep spitting up and improving their lives with Eric Holcomb is Governor. We Are One Indiana for all",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_IN_HOLCOMB_READY.wmv,0.8194966,0.212829736211031
GOV_KY_ADKINS_DO_BETTER,"Parts of our state had little hope. We can do better in Kentucky. Kentucky ranked second in the production of parts to build planes Rockets around the world. I helped make it happen. L & Auto in energy production, also, help make that possible. We need New Roads neighborhood and every Howard in, Kentucky.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_ADKINS_DO_BETTER.wmv,0.8194966,0.212829736211031
GOV_KY_BESHEAR_ROCKY,"Call for Eastern Kentucky, my whole life for our jobs and our people for Hope and opportunity. Kentucky needs Andy beshear as Governor. He'll fight for us and treat us with respect our current governor. He doesn't do that. Thanks, Rocky instead of attacking and dividing. Our people focus on better paying jobs career and skills training and apprenticeships and I'll always protect our Miners and your health care for all, Kentucky.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_ROCKY.wmv,0.8194966,0.212829736211031
GOV_KY_BEVIN_BACKWARD_BESHEAR,"Forward or backward as he won't stop Sanctuary cities in economy. He supports 57,000, new jobs. Probably pro-life. Matt wants to ban Sanctuary cities for illegal immigrants. Choose forward choose, Matt, Bevin.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BEVIN_BACKWARD_BESHEAR.wmv,0.8194966,0.212829736211031
GOV_KY_BEVIN_FORWARD,"Kentucky forever seem to be moving backwards. Then we hired an outsider as Governor former military. He ruffled some feathers, but made tough choices. We've always needed. Look at the result, 55,000, new jobs, lowest unemployment in Kentucky. History companies moving here, not moving away. We can't afford to go back. We'll keep moving forward. With the Bold leadership of Governor, Matt Bevin, and he's just getting started.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BEVIN_FORWARD.wmv,0.8194966,0.212829736211031
GOV_KY_BEVIN_TRUMP_ENDORSEMENT,"This guy was a really successful guy and he saw things happening in Kentucky. And he said, you know, I can do a, tremendous job, really has done. This date is doing so well. Do you have your lowest unemployment numbers in history? You have your best incomes in history. Do you have jobs and companies flowing back? And they said, terrific man had a terrific Governor, Matt, Bevin.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BEVIN_TRUMP_ENDORSEMENT.wmv,0.8194966,0.212829736211031
GOV_KY_BEVIN_WE_ARE_JUST_GETTING_STARTED_60,"The financially, Humble Home, Christian values, family of eight, three bedroom Farmhouse one bath. No shower hundred dollar cars never had health insurance to buy join the Army, but I always believed in the American dream. I worked my way up after a hundred years of backward policies and Kentucky. We're finally working our way up to President Trump is taking America to new heights, but it hasn't been easy. People are afraid of change, but I'm not neither is the president in together. Our changes are working lowest unemployment in Kentucky, history more than fifty thousand new jobs. Cutting red tape fully funding. Our public, pensions protecting life and fighting for Kentucky values like faith, family, and freedom. Kentucky's growing again, earning respect again in the best part. We're just getting started.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BEVIN_WE_ARE_JUST_GETTING_STARTED_60.wmv,0.8194966,0.212829736211031
GOV_KY_EDELEN_CORPORATE_PAC_MONEY,"You may have heard you should know Melissa. She's smarter than me. It's true. I'll get wages up, expand, Medicaid, and create thousands of renewable energy jobs, and I'm not taking any tomato a Democrat for governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_EDELEN_CORPORATE_PAC_MONEY.wmv,0.8194966,0.212829736211031
