alt,transcript,link,alpha,wmp_ratio
GOV_AL_WILSON_BUSINESS_MAN_AND_HUMBLE_SERVANT,"You and me, we can improve the future of Mississippi.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_AL_WILSON_BUSINESS_MAN_AND_HUMBLE_SERVANT.wmv,0.4559951,0.212829736211031
GOV_IN_HOLCOMB_RESILIENT_60,"We were free. We come together every single day. From day one. It's covid-19 started to really impact our families in our communities. What was Stranger in times of trouble there reminded just how important your fave your family and your friends are quite frankly. What we've learned is this common purpose this common experience. What brings us together is so much stronger than anything including offend them if they could ever tear us apart.Nothing is stronger than that Bond. We have for our neighbors and for our community, and that's powerful. We Are One Indiana, and we are one Indiana for all and it just make you proud to be a Hoosier.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_IN_HOLCOMB_RESILIENT_60.wmv,0.4559951,0.212829736211031
GOV_KY_BESHEAR_DIGNITY,"Baptist preachers from Western Kentucky. Just as a guide to my work today and helping a lost in the Left Behind the victims of rape, human trafficking and child abuse and families worried about losing their health care values. Brittany and I teach to our kids and those are the values. I'll bring back to Frankfort.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_DIGNITY.wmv,0.4559951,0.212829736211031
GOV_KY_BEVIN_LIFE,"Kentucky was moving backwards with liberal pro-abortion candidates gaining strength. Then we elected Christian conservative, political Outsider, Matt Bevin as Governor. He's a father of nine kids from adopted parent, Hood funded by abortion, clinic owners whose ass backwards. Matt. Bevin is pro-life and will keep us move.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BEVIN_LIFE.wmv,0.4559951,0.212829736211031
GOV_KY_BEVIN_WE_ARE_JUST_GETTING_STARTED_60,"The financially, Humble Home, Christian values, family of eight, three bedroom Farmhouse one bath. No shower hundred dollar cars never had health insurance to buy join the Army, but I always believed in the American dream. I worked my way up after a hundred years of backward policies and Kentucky. We're finally working our way up to President Trump is taking America to new heights, but it hasn't been easy. People are afraid of change, but I'm not neither is the president in together. Our changes are working lowest unemployment in Kentucky, history more than fifty thousand new jobs. Cutting red tape fully funding. Our public, pensions protecting life and fighting for Kentucky values like faith, family, and freedom. Kentucky's growing again, earning respect again in the best part. We're just getting started.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BEVIN_WE_ARE_JUST_GETTING_STARTED_60.wmv,0.4559951,0.212829736211031
GOV_LA_RISPONE_BEARD,"Eddie always say, Louisiana need something. Different to turn around and you're a businessman like me Pro, Trump conservative Politically Incorrect outsider. I just stick with a hotel pan.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RISPONE_BEARD.wmv,0.4559951,0.212829736211031
GOV_LA_RISPONE_DENA,"I wish everyone could see the dad. I know the man who rarely miss our games and never miss church on Sunday who took in his little brother with special needs and his face. Showed a slight again. After mom passed genuine, strong always, big hard. It. I am both blessed and a little biased because my dad Eddie rispone isn't just a great dad. He's a good man will make you proud as governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RISPONE_DENA.wmv,0.4559951,0.212829736211031
GOV_LA_RISPONE_EVERY_MORNING,"First thing I do every morning. The last thing I do every night bow, my head and ask her father for wisdom and 42 to serve him. Eddie rispone, I don't have all the answers, but I know he does Eddie rispone. Christian, conservative, businessman. I believe in the power of prayer. I'll call and his guidance every day and never be too proud to listen.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RISPONE_EVERY_MORNING.wmv,0.4559951,0.212829736211031
GOV_LA_RISPONE_LINDA,"There's a lot. I want to tell you about my husband, Eddie rispone. She's hardworking, and never still, unless it's in a church pew or a deer stand, Eddie a soft-spoken, but strong, when he gives his word. He keeps it and Eddie's big-hearted, just watching without 24, grandkids and watch him know. I don't know much about politics, but I know this is Governor Eddie will make you proud everyday.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RISPONE_LINDA.wmv,0.4559951,0.212829736211031
GOV_MS_HOOD_A_DAY_IN_THE_LIFE,"Reload ammunition, take care of the land. Mississippi attack, cybercrime delivered, the taxpayers from Big insurance scam artist and at the end of the day. Thank God for family and for the chance to help others.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MS_HOOD_A_DAY_IN_THE_LIFE.wmv,0.4559951,0.212829736211031
GOV_MS_REEVES_IN_GOD_WE_TRUST,"Mississippi has a brand new license plate, but the out-of-state liberals hate. It is because of these four words in God, we trust The Liberals from California and Washington are threatening to take Mississippi Decor, just because of this license plate. I'm Tate Reeves. I know, Mississippi is values for Mississippi strength. Our next Governor must defend our values every single day. The strong conservative, or Governor is Tate Reeves.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MS_REEVES_IN_GOD_WE_TRUST.wmv,0.4559951,0.212829736211031
GOV_MS_REEVES_LIBERAL_EXTREMISTS,"Conservative Patriot in Hollywood and religion. Play Wolfie race. Carnation Gray. Streaming. Jim Hood, won't, but I will.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MS_REEVES_LIBERAL_EXTREMISTS.wmv,0.4559951,0.212829736211031
GOV_NC_COOPER_A_PRAYER,"What are the hardest things about protecting? Your family insurance, as Governor? I won't stop because no family should live in fear.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_NC_COOPER_A_PRAYER.wmv,0.4559951,0.212829736211031
GOV_WV_THRASHER_BORN_AND_RAISED_60,"I was born and raised in West Virginia and I've been in love with this place for 65 years to provide a better future for our kids. He didn't keep his promises and there were no new jobs. Even before the coronavirus, 100% pro-life, conservative who supports President Trump and all work hard everyday, Republican, or someone who looks out for you. I'm Woody Thrasher, and I'd appreciate your vote so that we can make West Virginia, what she deserves to be the best place in the world to call home.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WV_THRASHER_BORN_AND_RAISED_60.wmv,0.4559951,0.212829736211031
HOUSE_AL01_CARL_OUT_OF_CONTROL,"I'm very call political correctness is out of control is enough to build a wall to secure our borders. Let's stop socialist for pushing abortion on demand and stealing our guns. This isn't crazy stuff. I've got back home. I'm Jerry call, but you call me Jerry and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL01_CARL_OUT_OF_CONTROL.wmv,0.4559951,0.212829736211031
HOUSE_AL01_HIGHTOWER_CHRISTIAN_ADOPTIONS,"The Bible says you will know them by their fruits. Bill Hightower passed a law. Protecting Christian adoption and Bill Hightower protect The Unborn. He wrote the Bill that outlawed the sale of unborn, baby part. Our religious Liberties are safe in the hands of feel, Hightower a Christian, a conservative a defender of our constitution, our president and our values, Bill Hightower for South Alabama. Still Hightower for Congress.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL01_HIGHTOWER_CHRISTIAN_ADOPTIONS.wmv,0.4559951,0.212829736211031
HOUSE_AL01_HIGHTOWER_COMMITTED_MY_LIFE_TO_JESUS,"I committed my life to Jesus. When I was 16 years old, the Bible. The Ten Commandments is about serving him in whatever capacity that scored as we are. I'm at. And I'm going to take that with me to DC and I'm not afraid to say it, because it is who I am. I'm going to stand up for religious Liberties. I'm going to stand up for the family and I'll stand against anybody who tries to take them away from our nation. I bill Hightower and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL01_HIGHTOWER_COMMITTED_MY_LIFE_TO_JESUS.wmv,0.4559951,0.212829736211031
HOUSE_AL01_HIGHTOWER_COMMITTED_MY_LIFE_TO_JESUS_60,"I've committed my life to Jesus when I was 16 years old and still stand up Independence of the word has been about serving in in whatever capacity of San Rafael business. Ministry overseas missions are the best selling book in the whole world. If the Bible, the Bible has a profound effect upon me and I am going to keep my guidebook. We need to go back to the fundamental principles. The Bible detention woman. That's cool. We are those principles of Truth there. Anything you need to take with us to Washington, and I'm going to take that with me to DC and I'm not afraid to say it.I'm going to stand up for religious liberty. I'm going to stand up for the family and I'm standing. It's anybody who tries to take away from our nation's. I do hot shower and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL01_HIGHTOWER_COMMITTED_MY_LIFE_TO_JESUS_60.wmv,0.4559951,0.212829736211031
