alt,transcript,link,alpha,wmp_ratio
GOV_IL_PRITZKER_CALLING_OUT,"It's paid for by the same Republican group who Donald Trump, but why are they attacking Governor pritzker? Because he's calling out the president's failed leadership, don't believe their lies state legislators will not be getting its governor pritzker who work there passed a bipartisan budget, finding common ground on issues like investing in infrastructure and he's working night and day to help Illinois, confront. The pandemic, Governor pritzker has risen to this moment.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_IL_PRITZKER_CALLING_OUT.wmv,0.6918862,0.212829736211031
GOV_IL_PRITZKER_FALSE_ATTACK,"Is a false attack. This is a governor getting things done. The truth is state legislators will not be getting raises. Its governor pritzker who work to pass a bipartisan budget, making education a priority expanding access to health care, and finding common ground with Republicans on issues, like investing in our state's infrastructure, and he's working night and day to help Illinois, confront. The pandemic, Governor pritzker has risen to this moment.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_IL_PRITZKER_FALSE_ATTACK.wmv,0.6918862,0.212829736211031
GOV_IN_HOLCOMB_DIGITAL_DIVIDE,"Just a few short years ago, the digital divide in seniors affecting students. It was affecting our private sector, especially the Family Farm. We focused on finding Solutions. We devoted 102 the technology that they needed. We prioritized Indiana for all.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_IN_HOLCOMB_DIGITAL_DIVIDE.wmv,0.6918862,0.212829736211031
GOV_KY_ADKINS_DO_BETTER,"Parts of our state had little hope. We can do better in Kentucky. Kentucky ranked second in the production of parts to build planes Rockets around the world. I helped make it happen. L & Auto in energy production, also, help make that possible. We need New Roads neighborhood and every Howard in, Kentucky.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_ADKINS_DO_BETTER.wmv,0.6918862,0.212829736211031
GOV_LA_EDWARDS_COME_TOO_FAR,"Never before has received their first to college, but we've come too far to turn back now.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_EDWARDS_COME_TOO_FAR.wmv,0.6918862,0.212829736211031
GOV_LA_LANDRIEU_DISGRACE,"Independent candidate, for governor, Gary Landrieu, on destruction of American history, on to the government. They belong to the people like all of history, but I am Governor. There won't be any more Monument storm damage disease had 250,000 new jobs and build the bridge in Baton Rouge.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_LANDRIEU_DISGRACE.wmv,0.6918862,0.212829736211031
GOV_MS_HOOD_DOWN_TO_TWO,"It's down to two candidates. What do you want? Tate Reeves has cut Teachers. Pay Jim Hood will support our teachers and expand Pre-K higher health care costs, work with both parties hospitals, waste taxpayer. Money on his own private road rebuild, roads and bridges are chance to do ride by Mississippi Jim hood for governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MS_HOOD_DOWN_TO_TWO.wmv,0.6918862,0.212829736211031
GOV_MS_HOOD_GATED_COMMUNITY,"This is Tate Reeves. Gated community nearby shopping mall. And this a two million-dollar taxpayer paid to do it with horsepower in my sweat. As Governor. The roads, I built won't be for a politician's driveway. They'll be for you.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MS_HOOD_GATED_COMMUNITY.wmv,0.6918862,0.212829736211031
GOV_MS_HOOD_SIMPLE_CHOICE,"It's a pretty simple choice for governor. Tate Reeves, get chauffeured around a campaign fundraisers in a state-owned SUV. Stop for a pickup and visiting with folks all across Mississippi. You want better schools, Affordable, Healthcare Rose. It don't destroy the front end of your vehicle and tax breaks for working. Folks as Governor. My tailgate will be open, not special interest. But to you, I work with both parties and get stuff done.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MS_HOOD_SIMPLE_CHOICE.wmv,0.6918862,0.212829736211031
GOV_MS_REEVES_DIFFERENCE,"Two candidates for Governor, both good men. What's the difference? Bill Waller wants to raise the gas tax tape, Reeves. Opposes higher taxes, bill would expand Obamacare in our state, 300,000 more people on welfare. Tate Reeves. Opposes Obamacare expansion in this race, so we don't have to raise taxes.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MS_REEVES_DIFFERENCE.wmv,0.6918862,0.212829736211031
