alt,transcript,link,alpha,wmp_ratio
GOV_LA_LANDRIEU_250000_NEW_JOBS,"Far, too, many of our families children are leaving our state in search of opportunity. It's so sad because we have so much to offer. We made Louisiana, Hollywood of the South with thousands of jobs and millions of dollars in Revenue. Now, it's time to make a Louisiana Last Vegas with billions of dollars of Revenue and hundreds of thousands of jobs. Stay Gold.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_LANDRIEU_250000_NEW_JOBS.wmv,0.4803685,0.212829736211031
GOV_LA_ROCPAC_LTG_RUSSEL_L_HONORE,"Bunuelos, the Cameron Parish, we stood shoulder-to-shoulder with those fighting for their lives at home, their land and their livestock the fight for our future, those who created. This Anthony for by restore toast pack.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_ROCPAC_LTG_RUSSEL_L_HONORE.wmv,0.4803685,0.212829736211031
GOV_MS_HOOD_A_DAY_IN_THE_LIFE,"Reload ammunition, take care of the land. Mississippi attack, cybercrime delivered, the taxpayers from Big insurance scam artist and at the end of the day. Thank God for family and for the chance to help others.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MS_HOOD_A_DAY_IN_THE_LIFE.wmv,0.4803685,0.212829736211031
GOV_MT_COONEY_ACTION_BY_ACTION,"We measure Montana's quality of life acre by acre politicians like Greg gianforte action by action on protecting public lands, a selfish greedy. Like when was Riverfront Mansion right insulting our values? That's Greg gianforte and you just can't trust him.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_COONEY_ACTION_BY_ACTION.wmv,0.4803685,0.212829736211031
GOV_MT_COONEY_PUBLIC_SERVICE,"Hey there, I might sweetie. It's true early on. I chose to dedicate my life to public service. But instead. Anyway as Governor, I got the track record to deliver Affordable Healthcare Act. Our public lands create jobs and opportunity to bring together to get it all done. Cuz that's really my thing.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_COONEY_PUBLIC_SERVICE.wmv,0.4803685,0.212829736211031
GOV_MT_GIANFORTE_DISTRACT,"For over 40 years, career politician has been raising your taxes. They never blocked access to this dream. I know, because I fished here for years, Greg gianforte will fight for our access to public lands and public lands. Greg gianforte will keep public lands in public hands.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_GIANFORTE_DISTRACT.wmv,0.4803685,0.212829736211031
GOV_MT_GJMT_JOHN,I run a small business here. Montana public lands is very important to our business. But Greg gianforte doesn't care about that protection is from nearly seven hundred thousand acres of public lands in the state to take away your rights to access a popular fishing. Second reason is because of our access to those,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_GJMT_JOHN.wmv,0.4803685,0.212829736211031
GOV_MT_GJMT_JOHN_15,"Greg gianforte bills to strip protections from nearly 700,000 Acres of public lands. He sued the state to take away your rights to access nearest giant mansion on the river.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_GJMT_JOHN_15.wmv,0.4803685,0.212829736211031
GOV_MT_GJMT_PROTECT,"These days we need to protect what matters in Montana are Lieutenant Governor, Mike understand and now he's fighting to protect our house. Bringing Republicans and Democrats together to expand affordable health insurance to nearly running for governor to keep together and keep protecting what matters to us.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_GJMT_PROTECT.wmv,0.4803685,0.212829736211031
GOV_MT_MTCVAF_JOHN,"I run a small business here. Montana access to public lands is very important for business. But Greg gianforte doesn't care about that in Washington who wrote bills to strip protections from nearly 700,000 Acres of public lands. Greg gianforte be sued the state to take away your rights to access popular phishing site. That's the reason, most people live in Montana is because of our access to those special places.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_MTCVAF_JOHN.wmv,0.4803685,0.212829736211031
