alt,transcript,link,alpha,wmp_ratio
GOV_LA_GUMBO_BROKEN_PROMISE,"When Ralph Abraham ran for congress, he made a promise that I would donate my salary to st. Jude's. And the independent organization. That's right. Abraham promise to donate his salary to put for years, even though he's worth more than $12. And now he wants to come Governor Ralph Abraham, donate my salary. Not you.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_GUMBO_BROKEN_PROMISE.wmv,0.8205445,0.212829736211031
GOV_LA_GUMBO_VETERANS,"Tours in Vietnam, I start in the Marine Corps. So we were impressed. When I told you that I would donate my salary to st. Jude and the independent organization, but turns out, I would just speak a promise because Ralph Abraham went to Washington and pocketed his salary instead cuz he thought would never find out if Ralph Abraham.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_GUMBO_VETERANS.wmv,0.8205445,0.212829736211031
GOV_LA_RISPONE_TYPICAL_POLITICIAN_15,"Ralph, Abraham missed more folks than any member in all of Congress. Abraham didn't show up for work, but he still took the key promised veterans. We just can't trust him.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RISPONE_TYPICAL_POLITICIAN_15.wmv,0.8205445,0.212829736211031
GOV_LA_RISPONE_TYPICAL_POLITICIAN_15_2,"Ralph Abraham. This more votes than anyone in Congress, but still took the money. He promised veterans and still voted with Nancy Pelosi over three times. Typical politician Ralph Abraham. Just can't trust.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RISPONE_TYPICAL_POLITICIAN_15_2.wmv,0.8205445,0.212829736211031
GOV_UT_HUGHES_CONSERVATIVE_LEADERSHIP,"Former Speaker of House. Greg Hughes is Utah's bad at the Conservative candidate running for governor. He increased educate fun, while cutting taxes in order to the Rio Grande area Mansion any work to get much deserve benefits for a veteran's. I'm Greg Hughes. I'm running for governor. I'm calling on you to join me and together. I promise, we'll get it done.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_UT_HUGHES_CONSERVATIVE_LEADERSHIP.wmv,0.8205445,0.212829736211031
GOV_UT_HUGHES_PURPLE_HEART_VETS,"The Purple Heart purple, heart and improve the quality of all of our lives. I'm running for governor. I'm calling on you to join me and together. I promise, we'll get it.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_UT_HUGHES_PURPLE_HEART_VETS.wmv,0.8205445,0.212829736211031
GOV_WV_JUSTICE_LISTEN_60,"Listen to what West Virginians are saying about Governor Jim Justice. Got a 10% raise. Take you from me. No, one cares about West Virginia's kids more than Jim Justice on military, retirement benefits to help people break the grip of opioid addiction security. That makes a big difference for seniors. Everybody remembers Janet Jackson's during the duration of the storm really had the 2016 flood. He opened up the Greenbrier. He's always ready to reach out and help people. Jim justice has a Heart of Gold Gym, Justice jobs opportunity and hope for all West, Virginia.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WV_JUSTICE_LISTEN_60.wmv,0.8205445,0.212829736211031
HOUSE_AL02_CFGACTION_WITH_TRUMP_FOR_THE_START,"Barrymore, with, with Trump from the start. Now more will help. Trump change congress with term limits, more trust parents. So he'll fight to repeal Common Core and expand school choice and is a veteran. More knows we have a sacred duty to take care of our military families, Conservative Republican Barrymore for Trump, but Congress public affection is responsible for the",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL02_CFGACTION_WITH_TRUMP_FOR_THE_START.wmv,0.8205445,0.212829736211031
HOUSE_AL02_COLEMAN_HUEY,Our veterans are special breed of American this series of that kept America safe long ago. But not good. I'm just calling and I approve this message.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL02_COLEMAN_HUEY.wmv,0.8205445,0.212829736211031
HOUSE_AL02_MOORE_APPROVES_PRESIDENT_DONALD,"I'm Barrymore and I approve this message very more approve. Supporting President Donald J Trump. Prove standing up to the Democrats and fighting their liberal. Agenda Barrymore. Approves our Second Amendment rights, protect The Unborn and building. The wall. Barrymore is a veteran and approve supporting our military and our veterans. Proof supporting our law enforcement officers. And First Responders, Barrymore, approve, supporting our Alabama values on November 3rd. I need your approval but being more Republican for Congress.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL02_MOORE_APPROVES_PRESIDENT_DONALD.wmv,0.8205445,0.212829736211031
HOUSE_AL02_MOORE_IMPORTANCE_OF_VETERANS,"As the only better than this race, understand the importance of veterans to our nation. Their the 1% from the 1% is her to protect our rights that protect the Constitution our freedoms, you know, experience is a wonderful teacher and to serve those. You need to assert, you need to been put in those people shoes. I've been in a combat boots. I understand what it's like, not spent forty-one years in the US Army and I support Barrymore, 38 years in the Army and I support Barrymore. I'm very more Republican for cars that I've",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL02_MOORE_IMPORTANCE_OF_VETERANS.wmv,0.8205445,0.212829736211031
HOUSE_AR02_HILL_CUT_TAXES,"I promise to cut taxes for Arkansas, families and small businesses, health insurance, while protecting those with pre-existing conditions. I promise to always have the back of law enforcement and strengthen Social Security and Medicare this message. Because I kept those promises and I will never stop working for you.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR02_HILL_CUT_TAXES.wmv,0.8205445,0.212829736211031
HOUSE_CA11_SHARMA_FIGHTING,"I am Nisha Sharma fighting for a seat in Congress because I care, I care about are struggling citizens because they may not have opportunities. I care about my communities because everyone does all lives matter. I care about our veterans because this November election East Bay fighter. I am Nisha Sharma and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA11_SHARMA_FIGHTING.wmv,0.8205445,0.212829736211031
HOUSE_CA16_CAPIEC_HIS_STORY_IS_THE_AMERICAN_STORY_60,"His story is the American story. Jim Costa. His family came here for a better life and have Farm in the valley for 112 years. To Kosta works every day to ensure access to Quality Healthcare and to stop the skyrocketing cost of prescription drugs. Jim Costa has been a leader in providing a queen and reliable water supply for the valley. And he's Champion comprehensive reform that keeps families together and protects the dreamers. Be secured funding to open the Fresno veterans home and worked to improve access for veterans Health Care, improving roads hiring police officers funding schools, and colleges Congressman, Jim Costas 3rd Generation family farmer and our friend responsible for the",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA16_CAPIEC_HIS_STORY_IS_THE_AMERICAN_STORY_60.wmv,0.8205445,0.212829736211031
