alt,transcript,link,alpha,wmp_ratio
GOV_WV_FOLK_THE_SAME_COIN,"Hi, I'm Mike folk two sides of the same coin. That's what former Mansion Democrats, Justice in Thrasher are wasteful spending selling out to China tax increases as my grandfather. Used to say, it's the pot calling the kettle. Black. I thought against their wasteful spending selling out to China and a form. 50 million dollar tax increase in the legislature. I might folk and I will fight even harder as your governor. And most of all, put Families First, to make our state, a great place to live work and raise a family.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WV_FOLK_THE_SAME_COIN.wmv,0.9224401,0.212829736211031
GOV_WV_JUSTICE_AT_OUR_EXPENSE,"Wayland State, Payroll Woody Thrasher took a Chinese vacation on our guide as Commerce Secretary of State. The Ritz-Carlton West Virginia or live large at our expense and failed, West, Virginia.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WV_JUSTICE_AT_OUR_EXPENSE.wmv,0.9224401,0.212829736211031
HOUSE_AL01_CARL_SEEN_THIS,"Sing this from Bill Hightower millions of jobs, and put American risk. We need a congressman will stand with Trump, not China. I'm Jerry. Carl enough is enough, conservative create American jobs in like President Trump. I've got a backbone and I'm Jerry Carl and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL01_CARL_SEEN_THIS.wmv,0.9224401,0.212829736211031
HOUSE_AL04_ADERHOLT_CHINA,"America has a name is China communist. China lied to the World on covid-19 troll production of our medicine. They steal our technology and our manufacturing jobs. We simply must hold China account. Robert aderholt started to buy America program to help our steel industry compete now, no, jobs are coming back, President Trump, and I are taking on every single day. I'm Robert aderholt now prove this message because we must put America first.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL04_ADERHOLT_CHINA.wmv,0.9224401,0.212829736211031
HOUSE_AR02_HILL_DEPENDANT_ON_CHINA,"America's become too dependent on China, for many of the products, vital to our military, our economy. And even our medications. In fact, 80% of the US supply of antibiotics are made in China is enough China as a deliberate strategy to control our drug Supply. And it's time we hold them accountable, as securing, our medical supply chain. I'm friendship when I approve this message because you make our nation safer. It's time to act",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR02_HILL_DEPENDANT_ON_CHINA.wmv,0.9224401,0.212829736211031
HOUSE_AR04_HARTZLER_CHINA_LIED,"Long before China lied about the virus, Vicky Hartzler sponsored bills to bring us back to the US to China money. China, use to spy on us and steal our technology. Keep our family. Vicky Hartzler leads gets results.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR04_HARTZLER_CHINA_LIED.wmv,0.9224401,0.212829736211031
HOUSE_AZ06_CFGACTION_IT'S_NOT_YOU,"If you care about the economy, it's not, you like Nancy Pelosi. Dating risk to American workers. Webster. Grove action is responsible for the content.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AZ06_CFGACTION_IT'S_NOT_YOU.wmv,0.9224401,0.212829736211031
HOUSE_CA48_ROUDA_IN_THESE_HALLS,"In these Halls, you do what your party tells you to do, unless your Harley rouda Republicans on a plan to cut taxes on homeowners and to stop federal dollars from going to China, owns companies and he put 30 years of business, experience into a real plan to balance the budget to, it's called putting your country first. And that's what Congressman Harley. Rouda will always do.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA48_ROUDA_IN_THESE_HALLS.wmv,0.9224401,0.212829736211031
HOUSE_FL03_STGEORGE_DOCTOR_NOT_A_POLITICIAN,"I'm James, St. George. I'm a doctor. Not a politician. I'm also an nra-certified Marksman in Congress. I'll shoot straight and Scott socialism dead in its tracks. Green New Deal, medicare-for-all. Congratulations in Chinese unfair, Trade Practices. We need to bring our jobs home. I'm James St. George. I approve this message because I'll stand with President Trump to defend our conservative.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_FL03_STGEORGE_DOCTOR_NOT_A_POLITICIAN.wmv,0.9224401,0.212829736211031
HOUSE_FL07_VALENTIN_SENDING_JOBS_TO_CHINA_SP,Stephanie Murphy.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_FL07_VALENTIN_SENDING_JOBS_TO_CHINA_SP.wmv,0.9224401,0.212829736211031
