alt,transcript,link,alpha,wmp_ratio
GOV_MT_GIANFORTE_CAREER_POLITICIAN,"Career politician over 40 years living off of taxpayers with over a million dollars of taxpayer, money and fees on Montana. And so liberal, my career politician, Mike Kuhn cell.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_GIANFORTE_CAREER_POLITICIAN.wmv,0.7990388,0.212829736211031
GOV_MT_GIANFORTE_GROOVY,"The Groovy 70s disco with the craze gas cost. $0.60. Jimmy Carter was president and he's a career politician and a government. Bureaucrat who has never had a real job. So. Well, living off. The taxpayers who has higher taxes for Montana families. Registration fees on our vehicles. Mike Cooney for governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_GIANFORTE_GROOVY.wmv,0.7990388,0.212829736211031
HOUSE_AL01_CFG_FIGHTERS_IN_CONGRESS,"President Trump meets fighters in Congress to help drain the swamp. He needs Bill. Hightower Hightower is not a typical politician Hightower supports Trump push for term limits to finally get rid of the Dead wood and Congress in Montgomery Hightower deposed and refused to pay hike for legislators in Washington. He'll fight the Deep state, bureaucracy, Conservative, Republican, bill Hightower for congress. Club. For Growth Action is responsible for the content of this advertising.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL01_CFG_FIGHTERS_IN_CONGRESS.wmv,0.7990388,0.212829736211031
HOUSE_AL01_HIGHTOWER_FIGHT_FOR_OUR_VALUES,"Bill Hightower is a pro-life conservative with the courage to fight for our values and the record to prove it. As state. Senator Hightower passed a law, protecting Christian adoption and wrote. Another Banning the sale of unborn, baby Parts. He forced to vote on term limits in Raging. The career politicians in Congress will fight to help President Trump build a wall and defend our Second Amendment rights. Bill Hightower for Congress, and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL01_HIGHTOWER_FIGHT_FOR_OUR_VALUES.wmv,0.7990388,0.212829736211031
HOUSE_AL02_CFGACTION_WITH_TRUMP_FOR_THE_START,"Barrymore, with, with Trump from the start. Now more will help. Trump change congress with term limits, more trust parents. So he'll fight to repeal Common Core and expand school choice and is a veteran. More knows we have a sacred duty to take care of our military families, Conservative Republican Barrymore for Trump, but Congress public affection is responsible for the",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL02_CFGACTION_WITH_TRUMP_FOR_THE_START.wmv,0.7990388,0.212829736211031
HOUSE_AL02_MOORE_IVE_DONE_IT,"Represent you in Congress, but I've done it, many conservative values, but I've done it. Some kind of that say, they support our military, but I have served. I am the only better than this race over Barrymore, who died. I'm very more trap. Republican for Congress.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL02_MOORE_IVE_DONE_IT.wmv,0.7990388,0.212829736211031
HOUSE_CA50_CAMPA-NAJJAR_WHEN_THEY_THINK_ABOUT_CALIFORNIA,"When Washington thinks about California, they don't think about this in the jar. And we're tired of do-nothing career. Politicians have term limits will change that. I'll get things done by putting country before party to fund Public Safety. Fix our roads and cut taxes for working families and small business. Party leaders. Won't tell me where to sit, because I know exactly where I stand with you. I approve this message because it's time we sent them East County to Washington.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA50_CAMPA-NAJJAR_WHEN_THEY_THINK_ABOUT_CALIFORNIA.wmv,0.7990388,0.212829736211031
HOUSE_FL27_SALAZAR_MY_AMERICAN_JOURNEY,"My American journey started here with $5 in my pocket and Maria Elvira Salazar. I've spent my life holding their corrupt and Powerful accountable and fighting for social justice, but Donna Shalala, she broke the law and get rid of the corrupt politicians in both parties.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_FL27_SALAZAR_MY_AMERICAN_JOURNEY.wmv,0.7990388,0.212829736211031
HOUSE_GA07_CFGACTION_TRUMP_NEEDS_FIGHTERS,"President Trump needs spiders in Congress. He needs Rich McCormick. A marine veteran. McCormick is not a politician. So he supports Trump's push for term limits on Congress as an ER, Doctor Who's treated covid-19 patients. McCormick will lead the fight against the Socialists who demand government-run Healthcare and he'll be on Trump side. Pushing more tax relief for Georgia, families, Conservative, Republican, Rich McCormick, but Congress is responsible for the content of this advertising.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_GA07_CFGACTION_TRUMP_NEEDS_FIGHTERS.wmv,0.7990388,0.212829736211031
HOUSE_IL14_GRADEL_NOTRE_DAME_KICKER,"A former Notre, Dame kicker Ted gradel hits the mark. Everytime model wants to break up Madigan's and pritzker's political machine. Throttle supports freezing property taxes, and getting gas and bottles are successful businessman like our President Trump's tax cuts permitted and past term limits to kick out. And I approve this message because I kicked footballs in college and I'll kick in Congress.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_IL14_GRADEL_NOTRE_DAME_KICKER.wmv,0.7990388,0.212829736211031
HOUSE_ME02_CFGACTION_FIGHTERS,"President Trump needs fighters in Congress. He needs Eric brakey a tenth-generation Manor break. He is not a career politician. So he supports Trump's push for term limits on Congress. Breaking into battle against Obamacare. In May. He'll fight to stop the Socialist Healthcare schemes and breaking knows it's time to get our economy open again. Conservative Republican, Eric break for Trump for congress, responsible for the content of this advertising.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_ME02_CFGACTION_FIGHTERS.wmv,0.7990388,0.212829736211031
HOUSE_MN07_COLLIS_GAME_SHOW_END_CARD,"Welcome back the name that politician players. Are you ready? What career politicians Support Office doctor and Doctor nookala, 7th, District, and E for Congress. And I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MN07_COLLIS_GAME_SHOW_END_CARD.wmv,0.7990388,0.212829736211031
HOUSE_MT01_ROSENDALE_REAL_HARD_WORK,"Real hard work is what makes America and it's what will bring us back. But this is what they consider. It's all about staying in office. Roosevelt, cut operating expenses. 23% it refused to pay raise every time change back to work. I'm at Rosendale. I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MT01_ROSENDALE_REAL_HARD_WORK.wmv,0.7990388,0.212829736211031
HOUSE_NC03_CFGACTION_DRAIN_THE_SWAMP,"President Trump meets Outsiders in Congress to help drain the swamp. He needs Celeste Karen's appearance is not a politician. She supports Trump Zephyr two-term limit Congress and get rid of the professional politician, a military wife and mother understands the sacrifices of our Armed. Forces shall ensure Congress always honors and protects our military conservative Republicans for Trump for congress Club. For Growth Action is responsible for the",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC03_CFGACTION_DRAIN_THE_SWAMP.wmv,0.7990388,0.212829736211031
HOUSE_NC11_BENNETT_CAREER_POLITICIAN_IN_TRAINING,"A career politician in training Madison, cawthorn doesn't support term limits. Are you going to self limit your own terms solutely? Not a president from extreme support. Absolutely. Not does Madison cawthorn deserve your boat tough. Businesswoman. Linda Bennett is on Trump's team to fix the economy and protect our god-given right of conservative, Linda Bennett for Congress.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC11_BENNETT_CAREER_POLITICIAN_IN_TRAINING.wmv,0.7990388,0.212829736211031
HOUSE_NC11_CAWTHORN_8TH_GENERATION,"He's an eighth, generation resident of the 11th District. He's the fighter, the political Outsider. We need to bring A New Perspective to Washington. It's time to shake off. These are tough times. We will get through this if we work together. I'm Madison cawthorn. I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC11_CAWTHORN_8TH_GENERATION.wmv,0.7990388,0.212829736211031
HOUSE_NC11_CAWTHORN_TWO_VERY_DIFFERENT_CHOICES_NARRATOR,"This election for congress offers, two very different choices. Who's first one in Congress will be to make Nancy, Pelosi the speaker of the house and outside.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC11_CAWTHORN_TWO_VERY_DIFFERENT_CHOICES_NARRATOR.wmv,0.7990388,0.212829736211031
HOUSE_NC11_PATTERSON_CONGRESSIONAL_SALARY,U.s. Congress thought about corporations. I will work to get the national debt under control. Home for me for US Congress. I'm Vance Patterson that I approve this message people.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC11_PATTERSON_CONGRESSIONAL_SALARY.wmv,0.7990388,0.212829736211031
HOUSE_NY25_MITRIS_HERE_MY_STORY,"I'm George metres, and I'm running for congress. When you hear my story. I came to this country from Grace when I was eight to live in the land of opportunity. My wife's large enough did the, we want to give that today. Things are different, and that's why I work collaboratively and make the dream work for all of us. I'm George metres and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NY25_MITRIS_HERE_MY_STORY.wmv,0.7990388,0.212829736211031
