alt,transcript,link,alpha,wmp_ratio
GOV_IL_PRITZKER_CALLING_OUT,"It's paid for by the same Republican group who Donald Trump, but why are they attacking Governor pritzker? Because he's calling out the president's failed leadership, don't believe their lies state legislators will not be getting its governor pritzker who work there passed a bipartisan budget, finding common ground on issues like investing in infrastructure and he's working night and day to help Illinois, confront. The pandemic, Governor pritzker has risen to this moment.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_IL_PRITZKER_CALLING_OUT.wmv,0.3825311,0.212829736211031
GOV_LA_ABRAHAM_NOT_AN_INSIDER,"I'm not an Insider. I don't play either inside or games. I'm someone who will look you in the eye. Tell you the truth and never turn my back on you. We're going to create jobs in the insane spending. And for the first time in a very long time do what's right for you and your family help has arrived. I'm Ralph Abraham. I'm running for governor, and I'm asking for your vote.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_ABRAHAM_NOT_AN_INSIDER.wmv,0.3825311,0.212829736211031
GOV_LA_LARP_CARD,"Google John Bel Edwards. So, desperate they're playing the race card. Listen disagree with liberals called. Make America great again, really means.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_LARP_CARD.wmv,0.3825311,0.212829736211031
GOV_LA_LARP_LAST,"Louisiana is the greatest state in America. But today, we're lasting jobs crime, insurance and more. If LSU was last week by the Provost athletic director, the coach even the part Waterboy. Full movie years, of a liberal career politician is not the answer. If we want different, we have to do different. I'm Eddie rispone. I'm asking you for you, both pay for it by Republican party of Louisiana, authorized by Eddie rispone for governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_LARP_LAST.wmv,0.3825311,0.212829736211031
GOV_LA_RGARIGHTDIRECTION_A_SUCCESS,"Washington Democrats, what a full government takeover of health care, but John Bel Edwards has already started. Sending something, a federal probe handouts going to those who didn't qualify minions wasted over 40% of higher taxes and mismanagement.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RGARIGHTDIRECTION_A_SUCCESS.wmv,0.3825311,0.212829736211031
GOV_LA_RISPONE_CARD,"Super Bowl, John Bel Edwards, so, desperate, they're playing the race card. Listen to the Liberals, call you a racist. Hispanic. Do you have any dog would make America great again desperate John Bel Edwards too liberal for",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RISPONE_CARD.wmv,0.3825311,0.212829736211031
GOV_LA_RISPONE_LAST_NO_PIC,"Louisiana is the greatest state in America, but today in jobs, crime insurance and more. Folks, if that was, she was last week by the Provost athletic director, the coach even the poor, Waterboy politician Governor is not the answer. If we want different, we have to do different. I'm Eddie rispone. I'm asking you for you both.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RISPONE_LAST_NO_PIC.wmv,0.3825311,0.212829736211031
GOV_LA_TIP_ANOTHER_FAILED_POLITICIAN,"Louisiana. We put money in but don't get what we deserve under John. Bel Edwards, Louisiana spends, 40% more than others. What John Bell refuses to cut waste instead? Even poor. John Bel Edwards. Just another failed politician.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_TIP_ANOTHER_FAILED_POLITICIAN.wmv,0.3825311,0.212829736211031
GOV_MO_GALLOWAY_INDEPENDENT_15,"Independent, the taxpayers Watchdog state auditor Nicole, Galloway, 50 million dollars by corrupt politicians, has Governor to make sure the money goes to your school jobs, your health care.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_GALLOWAY_INDEPENDENT_15.wmv,0.3825311,0.212829736211031
GOV_MO_GALLOWAY_NEAREST_HOSPITAL,Nearest hospital is an hour away the Warriors. Constant. What if one of the kids needs x-rays? What is Mom or Dad gets covid? I hear these concerns all the time. I've seen Hospital a hospital close all because Mike Parson wouldn't accept funding to keep them open. Our rural communities deserve better as Governor. I'll make sure every county has its own health care clinic on my watch. Your ZIP code won't determine your access to healthcare.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_GALLOWAY_NEAREST_HOSPITAL.wmv,0.3825311,0.212829736211031
GOV_MS_HOOD_TRAVELING_TATE_REEVES,"Tri-State Limo Estates Lane, a taxpayer paid junk into a rock concert and Mardi, Gras Reeves. Even had a State Trooper Garden when a Louisiana fishing boat at taxpayers expense. I bake caramel gone to drive my own truck on vacation. They should be protecting you work for you.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MS_HOOD_TRAVELING_TATE_REEVES.wmv,0.3825311,0.212829736211031
GOV_MT_GIANFORTE_DAVE_MCEWEN,"In Montana, we work hard and value freedom. But Mike Cooney is a career politician. Who thinks we work for him. For forty years, He's been raising taxes and fees. He raised our gas tax. Our vehicle licensing. Fees be raised taxes on small businesses. He even race. He's gone hunting. The only thing might could he cares about is higher taxes and more spending. I want to keep more of the money. I earned career politician. Mike Cooney. Won't ever get my vote.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_GIANFORTE_DAVE_MCEWEN.wmv,0.3825311,0.212829736211031
GOV_MT_MTRP_BEATEN_THE_DRUM_15,"For decades, Mikuni's beating the drum for big government, 3 billion dollars in new spending, 289 million in taxes and fees. Drumming of an F rating for Montana's Chamber of Commerce. Time to drop, Mike, Cooney out.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_MTRP_BEATEN_THE_DRUM_15.wmv,0.3825311,0.212829736211031
