alt,transcript,link,alpha,wmp_ratio
GOV_DE_CTI_CRONIES,Delaware is struggling and property is rising.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_DE_CTI_CRONIES.wmv,0.5447015,0.212829736211031
GOV_KY_BLUEGRASSVALUES_AIR,"Welcome to are Bevin a private plane for Matt Bevin owned by Kentucky. Taxpayers with lice to fundraisers his vacation home in Maine serving. Destinations kept secret from taxpayers. It's none of their business and fasten your seatbelts and his friends are taking you for a ride to six-figure salaries, tax breaks for contributors companies. Even if Bevin tried taking away your health care just sitting Bevan and his cronies fly high, you pay the price.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BLUEGRASSVALUES_AIR.wmv,0.5447015,0.212829736211031
GOV_KY_EDELEN_CORPORATE_PAC_MONEY,"You may have heard you should know Melissa. She's smarter than me. It's true. I'll get wages up, expand, Medicaid, and create thousands of renewable energy jobs, and I'm not taking any tomato a Democrat for governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_EDELEN_CORPORATE_PAC_MONEY.wmv,0.5447015,0.212829736211031
GOV_KY_EDELEN_THE_FACTS,"If you're like me, you don't like negative political ads, that sometimes you have to hear the facts. Andy beshear just isn't being straight with you. He told you he's fighting corruption, but his top aide is in jail for taking bribes. He says, he'll fix Healthcare but the cigarette companies and makers of Oxycontin have spent hundreds of thousands getting him elected. That's the difference. If state tuition still work for you.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_EDELEN_THE_FACTS.wmv,0.5447015,0.212829736211031
GOV_KY_EDELEN_THE_KITCHEN_SINK,"The kitchen sink. It's because we made this race isn't telling you. His top aide is in jail for taking bribes from lobbyists to cigarette companies. And makers, of Oxycontin have spent hundreds of thousands, getting him elected, bottom line, and he hasn't been honest about my record or his own Adam edelen Democrat for governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_EDELEN_THE_KITCHEN_SINK.wmv,0.5447015,0.212829736211031
GOV_KY_KYFBF_ALL_ABOUT_THE_MONEY,"It's all about the money, but she are benefiting from hundreds of thousands and spending from outside groups bankrolled by corporations insurance company in 100,000, from Purdue Pharma the manufacturer of the Oxycontin that caused the opioid epidemic once in office, and he's hand-picked Longmire was convicted of campaign with Andy beshear. It's all about the money, not, Kentucky.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_KYFBF_ALL_ABOUT_THE_MONEY.wmv,0.5447015,0.212829736211031
GOV_KY_PUTTINGKYFIRST_ALL_IN_THE_FAMILY,"Father of Kentucky, secretary of state will face. Prison, time a jury found Jerry lundergan guilty on 10 counts involving campaign, Finance cross. And the appointed one of Steve beshear's political allies as his top aide. In the Attorney. General's office is just your crony ended up in prison for taking bribes and funneling the dirty money into Andy's campaign Scandal and the Kentucky Democrat, It's All in the Family.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_PUTTINGKYFIRST_ALL_IN_THE_FAMILY.wmv,0.5447015,0.212829736211031
GOV_KY_PUTTINGKYFIRST_AT_OUR_EXPENSE,"As a lawyer, Andy beshear cashed in at our expense. Grabbing big tax break for his clients. While his dad was governor, but it gets worse as attorney. General for sheriff's office. Has been covered in Scandal took bribes for safe. Isn't then use the dirty money to give the share the thousands in illegal campaign, cash bribery and betrayal Kickbacks and Corruption politician. Andy beshear, can be trusted.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_PUTTINGKYFIRST_AT_OUR_EXPENSE.wmv,0.5447015,0.212829736211031
GOV_KY_PUTTINGKYFIRST_KICKBACKS_AND_CORRUPTION,"Tonight, we're learning more about the bribery charge filed against Kentucky, fax and Turney General. Andy beshear Sophos covered in Scandal took bribes for State business. Then use the dirty money to give this year, thousands in illegal campaign, cash bribery and betrayal, Kickbacks and Corruption politician. Andy beshear, can't be Trust.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_PUTTINGKYFIRST_KICKBACKS_AND_CORRUPTION.wmv,0.5447015,0.212829736211031
GOV_LA_AFCHILDREN_JUST_THE_WAY_IT_IS,"American Federation for children, for decades and Friends Edwards of corruption and he failed official investigations improper, Louisiana. He likes it just the way it is.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_AFCHILDREN_JUST_THE_WAY_IT_IS.wmv,0.5447015,0.212829736211031
GOV_LA_CAUSEWAYCONNECTION_CLOUDS,"Political corruption alive and well. Now he's governor and state contract up to 65 million, even though apparently has zero employees zero client, not even a real office corruption.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_CAUSEWAYCONNECTION_CLOUDS.wmv,0.5447015,0.212829736211031
