alt,transcript,link,alpha,wmp_ratio
GOV_LA_ABRAHAM_CONSERVATIVES_BEWARE,"Conservatives be where Eddie rispone is desperate. It is running dishonest attack ads against Abraham. The fax paper ham, doesn't vote with Nancy Pelosi, and he voted for Trump's wall. Ralph Abraham is rated as the most Conservative candidate in the race. For governor of Louisiana Family Forum. He's one hundred percent Proline Pro Trump and pro-second Amendment. The most conservative in the race for governor is Ralph Abraham to you and that the truth.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_ABRAHAM_CONSERVATIVES_BEWARE.wmv,0.9171559,0.212829736211031
GOV_LA_ABRAHAM_THE_TRUTH,"Ralph Abraham, I'm running for governor. And here's the truth. Life begins at conception, government is too big on, taxes are too high and our car insurance is too. Expensive, is doing a great job is self-explanatory. And as a doctor, I can assure you. There are only two genders of Ralph Abraham. I'm running for governor, and that's the truth.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_ABRAHAM_THE_TRUTH.wmv,0.9171559,0.212829736211031
GOV_LA_EDWARDS_SERVING,"Eastwood High, School quarterback and an Army Airborne Ranger, the hunter, who supports the Second Amendment, and the father has his values every day. I'm John Bel Edwards. Dedicated my life to serving our country and putting Louisiana first, and with your support. I will continue to lead Governor. John Bel Edwards.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_EDWARDS_SERVING.wmv,0.9171559,0.212829736211031
GOV_LA_RGARIGHTDIRECTION_STANDS,Open border. Extremist. Why? Radical agenda. Vote for Eddie rispone.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RGARIGHTDIRECTION_STANDS.wmv,0.9171559,0.212829736211031
GOV_MO_UMOPAC_VALUES,"Try to defend our Missouri values. Nicole Galloway Galloway is a liberal who support late-term abortions and Galloway support the liberal gun control. It would take away our Second Amendment, freedom of braided by the NRA. Governor. Mike Parson is endorsed by the NRA and A+ rated, and he's a proud pro-life father and grandfather my card, then we'll just spend our Missouri value.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_UMOPAC_VALUES.wmv,0.9171559,0.212829736211031
GOV_MS_REEVES_LIBERAL_AND_PHONY,"Carry my own gun to drive my own truck. Phony, Jim Hood lying again. The Clarion-Ledger reveals hoods truck was really paid for by trial lawyers to fund his campaign. And Hood might like his gun. But he's against your gun Hood, went to the UN, to argue against your right to self-defense that called liberal, and phony Jim Hood.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MS_REEVES_LIBERAL_AND_PHONY.wmv,0.9171559,0.212829736211031
GOV_MS_REEVES_ONLY_ONE,"What's your view on raising gas? Taxes only one candidate for governor. Opposes higher gas. Taxes. Tate Reeves. Only one candidate. Opposes expanding Obamacare. Tate Reeves. Only one candidate has been endorsed by the NRA, right to life and Phil Bryant Tate Reeves. That's why the American conservative union. Says Tate Reeves, is the one true conservative in this race.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MS_REEVES_ONLY_ONE.wmv,0.9171559,0.212829736211031
GOV_MS_REEVES_PRETENDS,"Election time. Jim Hood. Liberals who argues against your gun rights, watch it with the and Switzerland are called. Trial lawyers with Jim Hood. Phony. Even the truck.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MS_REEVES_PRETENDS.wmv,0.9171559,0.212829736211031
GOV_MS_REEVES_UNWAVERING,"A gun rights being a racist. A Reeves is unwavering. The American conservative union. Says, Tate Reeves, is the conservative in this race. They endorse only Tate Reeves. Continue to cut regulations and the God. I got the job. The number one destination for job creation, always said that refuse to lose mentality. Their conservative Reeves.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MS_REEVES_UNWAVERING.wmv,0.9171559,0.212829736211031
GOV_MT_GIANFORTE_CLEAR_CHOICE,"On the Second Amendment, you have a clear choice, career politician. Mike Cooley is D rated by the NRA. Kuni is old liberal who supports radical gun control and he's reported higher. That's why the NRA Greg gianforte by the NRA as governor and protect our access to public lands. Greg gianforte endorsed by the NRA.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_GIANFORTE_CLEAR_CHOICE.wmv,0.9171559,0.212829736211031
GOV_MT_GIANFORTE_THE_RIGHT_PRIORITIES_15,"Greg gianforte will defend the Second Amendment Sanctuary City stand with President Trump to Crackdown on illegal immigration and cut burdensome regulations to get montanans back to work. Greg. Gianforte is ready to leave, Montana.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_GIANFORTE_THE_RIGHT_PRIORITIES_15.wmv,0.9171559,0.212829736211031
GOV_MT_GIANFORTE_WALT_BOURDAGE,"I've been hunting and shooting guns. My whole life. Second Amendment is important to me because his radical gun control for 40 years. Even voted to raise fees on Hunting. Greg gianforte is a sportsman by the NRA and I trust Greg Decker, second amendment rights and our Montana way of life.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_GIANFORTE_WALT_BOURDAGE.wmv,0.9171559,0.212829736211031
GOV_WA_FORTUNATO_BLUEPRINT,"Pepsi Center. Small-town, mayor of police chief with no state government experience of the Second Amendment.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WA_FORTUNATO_BLUEPRINT.wmv,0.9171559,0.212829736211031
GOV_WV_FOLK_TAXPAYER_HERO,"Jim Justice was Hillary Clinton's running mate, first year ago. Neither support of Donald Trump.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WV_FOLK_TAXPAYER_HERO.wmv,0.9171559,0.212829736211031
GOV_WV_FOLK_THE_SAME_COIN,"Hi, I'm Mike folk two sides of the same coin. That's what former Mansion Democrats, Justice in Thrasher are wasteful spending selling out to China tax increases as my grandfather. Used to say, it's the pot calling the kettle. Black. I thought against their wasteful spending selling out to China and a form. 50 million dollar tax increase in the legislature. I might folk and I will fight even harder as your governor. And most of all, put Families First, to make our state, a great place to live work and raise a family.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WV_FOLK_THE_SAME_COIN.wmv,0.9171559,0.212829736211031
GOV_WV_JUSTICE_GREAT_AGAIN,"My good friend and your Governor Jim justice under Governor Justice and President Trump. West Virginians are working again from tourism to road construction, to high-tech to Cole. Justice is standing with Trump to defend. The Second Amendment, Justice is strongly endorsed by West Virginians for life and Governor Justice appointed. The most Supreme Court making West Virginia and America great again.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WV_JUSTICE_GREAT_AGAIN.wmv,0.9171559,0.212829736211031
GOV_WV_JUSTICE_SHOOTS_STRAIGHT,"A strong conservative Governor, Jim Justice, cute straight by the NRA. He's endorsed by West Virginians for life and endorsed by President Trump. Jim just a huge budget deficit while investing in our roof. I've got my sights on creating more jobs for West, Virginia. Can I don't miss very often, but Trump, considering Governor Jim Justice for West, Virginia.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WV_JUSTICE_SHOOTS_STRAIGHT.wmv,0.9171559,0.212829736211031
GOV_WV_JUSTICE_STRONGLY_ENDORSED_15,"Governor. Jim Justice is strongly endorsed and supported by West Virginians for Life. The NRA and our President, Donald Trump. Pro-life pro-gun Pro trucks, Jim Justice for governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WV_JUSTICE_STRONGLY_ENDORSED_15.wmv,0.9171559,0.212829736211031
GOV_WV_THRASHER_BORN_AND_RAISED_60,"I was born and raised in West Virginia and I've been in love with this place for 65 years to provide a better future for our kids. He didn't keep his promises and there were no new jobs. Even before the coronavirus, 100% pro-life, conservative who supports President Trump and all work hard everyday, Republican, or someone who looks out for you. I'm Woody Thrasher, and I'd appreciate your vote so that we can make West Virginia, what she deserves to be the best place in the world to call home.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WV_THRASHER_BORN_AND_RAISED_60.wmv,0.9171559,0.212829736211031
HOUSE_AK01_CLF_FUNDED_BY_EXTREMISTS,"Liberal Democrat, Elise K bankroll by out-of-state, extremists their supporters, 1/2 impact the green New Deal which could deny Alaskan billions in future revenue and countless jobs and tax plan, which could raise taxes by 4 trillion dollars and they want to believe in our Second Amendment rights with friends like these Alaskan, simply can't trust Elise k.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AK01_CLF_FUNDED_BY_EXTREMISTS.wmv,0.9171559,0.212829736211031
HOUSE_AK01_GALVIN_PHIL_MORROW,"I'm just two years older than Don young and I've lived in Alaska for most of my life. I want a fighter who stand up to the National Democrats on anwaar, protect our gun rights, strengthen our military balance, the adipose higher taxes on working alaskans. It helps, if they're married to someone in the oil industry to you know, who that is. I'm Elise Calvin and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AK01_GALVIN_PHIL_MORROW.wmv,0.9171559,0.212829736211031
HOUSE_AK01_YOUNG_WHATS_SHE_HIDING,"Communication. For government-run health care for bailing out antifa, rioters Democrats in 2020. After we've had earthquakes fires and a covid shutdown. Can actually prevent. She's just too liberal for Alaska.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AK01_YOUNG_WHATS_SHE_HIDING.wmv,0.9171559,0.212829736211031
HOUSE_AL01_CARL_BUILDING_BUSINESSES,"Building businesses message, Jerry Carl had to solve problems. Congress is full of problems. Gary will stand with Trump build the wall and end and outs for lawbreaking illegals. Jheri curl is pro-life because it's in Mortal to stop a bleeding heart as a conservative. He'll stop liberals from destroying the Second Amendment like Trump. He's tough. He does. What's needed just Jerry and Eric Carle, but call me Jerry and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL01_CARL_BUILDING_BUSINESSES.wmv,0.9171559,0.212829736211031
HOUSE_AL01_HIGHTOWER_FIGHT_FOR_OUR_VALUES,"Bill Hightower is a pro-life conservative with the courage to fight for our values and the record to prove it. As state. Senator Hightower passed a law, protecting Christian adoption and wrote. Another Banning the sale of unborn, baby Parts. He forced to vote on term limits in Raging. The career politicians in Congress will fight to help President Trump build a wall and defend our Second Amendment rights. Bill Hightower for Congress, and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL01_HIGHTOWER_FIGHT_FOR_OUR_VALUES.wmv,0.9171559,0.212829736211031
HOUSE_AL01_HIGHTOWER_LYING_AGAIN,"Jerry Carl again, Trump even donated thousands against Trump Bill hightower's been in Congress. He'll keep fighting President Trump, build a wall and stand up to China and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL01_HIGHTOWER_LYING_AGAIN.wmv,0.9171559,0.212829736211031
HOUSE_AL02_BROWN_THE_SECOND_AMENDMENT,"Hello and Thomas W. Brown jr. And I'm running for the 2nd congressional district of Alabama. I'm a Believer in the Second Amendment Industries or has major concern. That's why I want to serve on these committees in Congress as a devout Christian. I will uphold the standards in Washington. I will work with the key players in the Trump Administration. Concerning the deficit vote. For me, Thomas W. Brown jr. To represent you in d.c.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL02_BROWN_THE_SECOND_AMENDMENT.wmv,0.9171559,0.212829736211031
HOUSE_AL02_COLEMAN_CAN_DO,"Jeff Goldman Sachs and do kind of guy support President Trump across-the-board Goldman can to try to help our president Build That Wall strengthen. The Second Amendment lowered taxes. Goldman can do push the Socialist back. Har Coleman can do that. Have wine, Jeff Coleman to conservative, businessman. Deep, Alabama and America. Great Goldman can do. Jeff Coleman and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL02_COLEMAN_CAN_DO.wmv,0.9171559,0.212829736211031
