alt,transcript,link,alpha,wmp_ratio
HOUSE_AL04_ADERHOLT_CHINA,"America has a name is China communist. China lied to the World on covid-19 troll production of our medicine. They steal our technology and our manufacturing jobs. We simply must hold China account. Robert aderholt started to buy America program to help our steel industry compete now, no, jobs are coming back, President Trump, and I are taking on every single day. I'm Robert aderholt now prove this message because we must put America first.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL04_ADERHOLT_CHINA.wmv,0.6281049,0.212829736211031
HOUSE_AR02_HILL_DEPENDANT_ON_CHINA,"America's become too dependent on China, for many of the products, vital to our military, our economy. And even our medications. In fact, 80% of the US supply of antibiotics are made in China is enough China as a deliberate strategy to control our drug Supply. And it's time we hold them accountable, as securing, our medical supply chain. I'm friendship when I approve this message because you make our nation safer. It's time to act",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR02_HILL_DEPENDANT_ON_CHINA.wmv,0.6281049,0.212829736211031
HOUSE_AZ06_CFGACTION_IT'S_NOT_YOU,"If you care about the economy, it's not, you like Nancy Pelosi. Dating risk to American workers. Webster. Grove action is responsible for the content.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AZ06_CFGACTION_IT'S_NOT_YOU.wmv,0.6281049,0.212829736211031
HOUSE_CA21_COX_ENGINEER,TJ Cox. He's an engineer and went to Congress and secured over 150 million full of water projects for farmers and workers hurt by the coronavirus. And worked across party lines. That has better. Trade deals and strengthening Marcus for our farmers and Growers while protecting American jobs through this message because,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA21_COX_ENGINEER.wmv,0.6281049,0.212829736211031
HOUSE_GA14_BULLOCK_BACK_TO_WORK,"Let's get Georgia safely back to work and restore, all right to assemble. And Americans died in Congress. I'll stand with President Trump to get George's back to work. To get our economy booming again and to enforce real border control. Must be made in the USA, not China. I've been bullet and I approve this.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_GA14_BULLOCK_BACK_TO_WORK.wmv,0.6281049,0.212829736211031
HOUSE_IA01_AAN_CRYSTAL_CLEAR_FINKENAUER,"This is about preventing a potentially disastrous outcome from occurring next year. Now. It's Crystal Clear. Their partisan. Impeachment is a politically-motivated charade. Abby finkenauer promise to be but she's not instead of working to secure our border, six Healthcare and let the voters decide elections.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_IA01_AAN_CRYSTAL_CLEAR_FINKENAUER.wmv,0.6281049,0.212829736211031
HOUSE_IA01_AMERICAFIRST_WITCH_HUNT,"The investigations lies a witch-hunt the radical left. It's nothing to impeach President. Trump better trade deals delayed stronger borders obstructed funding. For our troops in complete do-nothing Congress focused on a Witch Hunt and your congresswoman. Abby, finkenauer is siding with them, so-called congresswoman finkenauer. Tell her to end the Witch Hunt oppose impeachment, which of beracah first.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_IA01_AMERICAFIRST_WITCH_HUNT.wmv,0.6281049,0.212829736211031
HOUSE_IA01_FINKENAUER_MIKE_SADLER,"Sitter jobs right here, and I'll approve this message. Because for me, it's always about, Iowa.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_IA01_FINKENAUER_MIKE_SADLER.wmv,0.6281049,0.212829736211031
HOUSE_IL17_BUSTOS_HERE'S_TO_THE_DOERS,"What to feed the world and make America work even in tough times. I'm sure he Bustos and I'm doing everything I can to get us moving again. Better trade deal was or farmer sell American Products, new infrastructure, projects and demanding, they use products made in America. And I approve this message cuz we're doing is here and it's time to get to work.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_IL17_BUSTOS_HERE'S_TO_THE_DOERS.wmv,0.6281049,0.212829736211031
HOUSE_KS01_BARNETT_WHAT_YOU_SEE_IS_WHAT_YOU_GET,"As Kansas fights to recover politician. Tracy, man says with him, what you see is what you get man is against help for Kansas businesses struggling to survive, says, Kansas farmer. Should be proud to be Pawns in the trade war with China and Tracy, man, through families out on the street. Even evicting families with small children during the pandemic Tracy, man has shown us who he really is Charlie, Barnett a teacher, not a politician. I approve this message because Kansas deserves better.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_KS01_BARNETT_WHAT_YOU_SEE_IS_WHAT_YOU_GET.wmv,0.6281049,0.212829736211031
