alt,transcript,link,alpha,wmp_ratio
GOV_KY_PUTTINGKYFIRST_VALUES,"President Trump is Governor Bevin of making Kentucky great again, with socialists in Washington, want to impeach Trump and take us backward. And even here is part of their radical resistant, harassing Trump with losses are two people who can work but choose not to the sheer. Even opposes a ban on Sanctuary cities. Liberal, Andy beshear, doesn't share our Kentucky values. Send the Socialist a message to Ft. Andy beshear.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_PUTTINGKYFIRST_VALUES.wmv,0.8262365,0.212829736211031
GOV_LA_RGARIGHTDIRECTION_STANDS,Open border. Extremist. Why? Radical agenda. Vote for Eddie rispone.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RGARIGHTDIRECTION_STANDS.wmv,0.8262365,0.212829736211031
GOV_LA_RISPONE_SO_LIBERAL,"How liberal is John Bel Edwards car, insurance rates? So liberal. Keep getting illegal immigrants million and so liberal. He's playing the race card, just to win an election. How liberal is John Bel Edwards?",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RISPONE_SO_LIBERAL.wmv,0.8262365,0.212829736211031
HOUSE_AL02_CFGACTION_TRUCKLOAD_OF_PROMISES,"Jeff donated over $10,000 to a Big Lick responsible for the content of this advertising.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL02_CFGACTION_TRUCKLOAD_OF_PROMISES.wmv,0.8262365,0.212829736211031
HOUSE_CA50_DEMAIO_BETRAYED_PRESIDENT_TRUMP_TRANSGENDER_ISSUES,"Ayo, and I approve this message and you",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA50_DEMAIO_BETRAYED_PRESIDENT_TRUMP_TRANSGENDER_ISSUES.wmv,0.8262365,0.212829736211031
HOUSE_FL13_LUNA_ANTI_TRUMP_LOBBYIST,"Anti-drug lobbyist for the liberal 1635. That's been Millions electing Democrats and let me to impeach President Trump. Then Maggie lied about it. Now. She's lying about Anna Paulina, Luna air force, that opposes amnesty, and illegal immigration and build a wall Paulina. Luna won't even defend President Trump from the left.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_FL13_LUNA_ANTI_TRUMP_LOBBYIST.wmv,0.8262365,0.212829736211031
HOUSE_FL19_ASKAR_BEING_ATTACKED,"I'm Casey askar. I approve this message. I'm being attacked for supporting Mitt Romney against Barack Obama president. I supported President. Donald Trump is a hypocrite for Byron. Now, tell Byron Donald's that has Rhino never. Trump dollars are welcome here in Southwest, Florida.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_FL19_ASKAR_BEING_ATTACKED.wmv,0.8262365,0.212829736211031
HOUSE_IA01_AAN_CRYSTAL_CLEAR_FINKENAUER,"This is about preventing a potentially disastrous outcome from occurring next year. Now. It's Crystal Clear. Their partisan. Impeachment is a politically-motivated charade. Abby finkenauer promise to be but she's not instead of working to secure our border, six Healthcare and let the voters decide elections.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_IA01_AAN_CRYSTAL_CLEAR_FINKENAUER.wmv,0.8262365,0.212829736211031
HOUSE_IA01_AMERICAFIRST_WITCH_HUNT,"The investigations lies a witch-hunt the radical left. It's nothing to impeach President. Trump better trade deals delayed stronger borders obstructed funding. For our troops in complete do-nothing Congress focused on a Witch Hunt and your congresswoman. Abby, finkenauer is siding with them, so-called congresswoman finkenauer. Tell her to end the Witch Hunt oppose impeachment, which of beracah first.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_IA01_AMERICAFIRST_WITCH_HUNT.wmv,0.8262365,0.212829736211031
HOUSE_IA03_AAN_PROMISES_TO_BE_DIFFERENT_AXNE,"Any promises to be different telling us, I didn't run for the seat, the president and now it's Crystal Clear, disastrous outcome, from occurring. Next year, the voters decide elections.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_IA03_AAN_PROMISES_TO_BE_DIFFERENT_AXNE.wmv,0.8262365,0.212829736211031
HOUSE_IA04_FEENSTRA_THE_CONGRESSMAN_THAT_COULDN'T,"Steve King, the congressman that could. Randy feenstra principled, conservatives strong on immigration, and feenstra will get President, Trump's wall built and kick-start our economy L deliver Steve King. Couldn't Randy feenstra for Congress. And I approve this.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_IA04_FEENSTRA_THE_CONGRESSMAN_THAT_COULDN'T.wmv,0.8262365,0.212829736211031
HOUSE_IL13_AAN_CRYSTAL_CLEAR_DAVIS,"This is about preventing a potentially disastrous outcome from occurring next year. Now. It's Crystal Clear. Their partisan. Impeachment is a political beliefs. The voters should be the ones deciding elections. He's focusing on the issues that matter making job training, more accessible supporting our veterans and being a strong. Voice for our Farmers call Rodney Davis, thank him for standing against impeachment and focusing on the issues that matter to us.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_IL13_AAN_CRYSTAL_CLEAR_DAVIS.wmv,0.8262365,0.212829736211031
