alt,transcript,link,alpha,wmp_ratio
GOV_DE_CTI_WHITMER_PLOT,"In 2019, Governor Carney in the all white Board of Pardons. Let violent white supremacist. Barrett crossbow, free a year later cost has now been charged with plotting to kidnap the governor of Michigan. Something's rotten in Delaware. Criminal Injustice system.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_DE_CTI_WHITMER_PLOT.wmv,0.6410131,0.212829736211031
GOV_UT_COX_THE_AMERICAN_DREAM,As a conservative in our schools funding for education.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_UT_COX_THE_AMERICAN_DREAM.wmv,0.6410131,0.212829736211031
GOV_VT_WINBURN_RACIAL_EQUALITY_15,Racial equality.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_VT_WINBURN_RACIAL_EQUALITY_15.wmv,0.6410131,0.212829736211031
GOV_WA_CULP_ONE_OF_US,"Politicians boast of resumes, law degrees and hobnobbing with Elite. What do we get homeless camps, riots, wrecked economy. And then there's release Prisoners. The unemployment fraud scandal in Maggie apples. Sick of suffering. Lauren. Kulp is one of us. He's a veteran. Police officer businessman. Yes, house in car payments, but job in common sense, Lord called cares about the Constitution, equal rights, Washington family. Let's elect Lauren, call governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WA_CULP_ONE_OF_US.wmv,0.6410131,0.212829736211031
HOUSE_AR02_NEAAF_CHANGE_TAKES_COURAGE,Change takes courage. One of the first people to integrate her High School knows that better than most. She's been 30 years as a public school teacher brought people together and got results on Health Care at the courage to do it because he is responsible for the content of this app.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR02_NEAAF_CHANGE_TAKES_COURAGE.wmv,0.6410131,0.212829736211031
HOUSE_CA20_PANETTA_DIFFICULT_YEAR,"It's been a difficult year for all of us sponsoring new legislation to promote social justice and fight systemic racism and a Hands-On approach during the wildfires delivering recovery assistance for the Central Coast to do. Jimmy. Panetta will be there fighting for you. I'm Jimmy Panetta, and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA20_PANETTA_DIFFICULT_YEAR.wmv,0.6410131,0.212829736211031
HOUSE_CT03_STREICKER_DIVIDE_US,"Politicians provide us with labels left, right conservative-liberal. I'm Margaret Striker and I approve this message because America isn't a one-size-fits-all label. And neither remind, health insurance, and sustainable, jobs are human rights. And everybody deserves, some Washington should stay out of our wallets and our bedrooms, all lives matter and defunding the police do. Wrong career politicians need labels to win, but America doesn't.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CT03_STREICKER_DIVIDE_US.wmv,0.6410131,0.212829736211031
HOUSE_FL16_BUCHANAN_TWENTY_TWO_BILLS,"I approve this message and Buchanan bills into law of the most active members of Congress and gets the job done. But Margaret good, she refused to raise money for her campaign. Margaret good.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_FL16_BUCHANAN_TWENTY_TWO_BILLS.wmv,0.6410131,0.212829736211031
HOUSE_GA05_HALL_THE_TIME_IS_NOW_SEPTEMBER,"The vote is the most powerful nonviolent instrument that we have to complete. I will fight for covid, Relief, check for everybody and I will demand Justice Reform and stand up to Donald Trump do for me Tuesday, September 29th. I'm Kwanzaa Hall and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_GA05_HALL_THE_TIME_IS_NOW_SEPTEMBER.wmv,0.6410131,0.212829736211031
HOUSE_IN05_CFGACTION_WHAT_INSPIRES_YOU,"What's in the service of First Responders, the courage of our military Christina Hail to the black lives matter protest was inspiring to her. He'll even joined a BLM protest against our police. She's a Christina Hale.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_IN05_CFGACTION_WHAT_INSPIRES_YOU.wmv,0.6410131,0.212829736211031
HOUSE_KY06_BARR_RADICAL_MOBS,Nautical maps are tearing down. The America Wheeler police have been beaten abused and assaulted and Josh Hicks. Promotes. The moms live at old. Police are racist racism in law enforcement. Josh Hicks stands with them. Not us. I'm Andy Barr. And I approve this message.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_KY06_BARR_RADICAL_MOBS.wmv,0.6410131,0.212829736211031
HOUSE_MA01_JUSTICEDEMS_ASK_60,"For thirty years, Congressman, Richie. Neal has been in Washington, has done well for himself, but we haven't. We've had to ask, should a teacher make less than a livable salary. Does a mother did surface 3 hour? Commute from work? Should a person have to battle their health insurance to get proper treatment? Until it's too late. Now. A better world is possible, Alex Morse, who believe that people matter more than profit that every child deserves a chance. No matter their zip code disability or skin color. You believe that. Renewal. Energy is deaf. A health care is a human, right? That real victories on social economic and racial Justice are necessary. It's our time to change Washington. Let's Vote Alex Morrison Congress to change our story. Justice Democrats is responsible for the content of this ad.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MA01_JUSTICEDEMS_ASK_60.wmv,0.6410131,0.212829736211031
HOUSE_MA01_MORSE_MOVEMENT_ACROSS_AMERICA,"There's a movement Across America and economic Justice, combating climate, change, a human, right?",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MA01_MORSE_MOVEMENT_ACROSS_AMERICA.wmv,0.6410131,0.212829736211031
HOUSE_MA04_LECKEY_IN_THIS_CRISIS,"In this crisis, we need a government that bailed out. The people not the corporations. That's why I'm running for congress. I struggled through poverty, put myself through college and took on wall, Street's greed. As the only woman of color in this race. I'm fighting for racial Justice to guarantee Healthcare, free pre-k and housing for all. We need leaders who represents our diversity and courage, and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MA04_LECKEY_IN_THIS_CRISIS.wmv,0.6410131,0.212829736211031
HOUSE_MI13_TLAIB_SOMETHING_SPECIAL,"There's something special about Detroit in Wayne County. Every corner is a reminder social justice movements. We always fight for, what's right. It's an honor to represent you in United States Congress. We traded a 1.5 billion dollar water is a human, right? Fun. During this pandemic brought billions bass for the district and our district led the charge to hold Donald Trump accountable. We aren't done yet. I'm asking for your vote on August 4th. I'm congresswoman Rashid Talib and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MI13_TLAIB_SOMETHING_SPECIAL.wmv,0.6410131,0.212829736211031
HOUSE_MN03_QUALLS_LOOK_LIKE_ME,"Close by in a place like this. A man that look like me died in police custody. It was shocking. But using that pain as an excuse is wrong. I'm Kendall Qualls. We have to face the challenges of race without racing to destroy each other. Honestly, confront evil without creating more of it. I'm Kendall Qualls. I approve this message because it's time to bring America together, instead of ripping it apart.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MN03_QUALLS_LOOK_LIKE_ME.wmv,0.6410131,0.212829736211031
HOUSE_MN05_MELTON-MEAUX_CONTROVERSIAL_DIVISIVE,"Controversial divisive, ethics violations. Progressive Democrat committed to ending things done for you. I meant tell Mel to Newk's and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MN05_MELTON-MEAUX_CONTROVERSIAL_DIVISIVE.wmv,0.6410131,0.212829736211031
HOUSE_MN05_MELTON-MEAUX_FAMILY_LEGACY,"A family Legacy. His father was a civil rights. Pioneer, his mother help people in poverty, find affordable, housing Antone, melton-meaux and an attorney and nationally recognized leader in conflict resolution that we don't need more dividers. I'm an tell Mel and I approve this message because I'll bring people together and get things done for our community.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MN05_MELTON-MEAUX_FAMILY_LEGACY.wmv,0.6410131,0.212829736211031
